slot_id,source_marker,physical_interval,interval_start_hour,interval_end_hour,duration_hours,price_yuan_per_kwh,load_kw,pv_forecast_kw,load_kwh,pv_forecast_kwh,purchase_kwh,charge_bus_kwh,discharge_bus_kwh,curtailment_kwh,soc_start_kwh,soc_end_kwh,purchase_cost_yuan,energy_balance_residual_kwh,soc_transition_residual_kwh
24,4:00,3:50-4:00,3.8333333333,4.0000000000,0.1666666667,0.4378000000,3560.2070000000,0.0000000000,593.3678333333,0.0000000000,593.3678333333,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,259.7764374333,0.0000000000,0.0000000000
25,4:10,4:00-4:10,4.0000000000,4.1666666667,0.1666666667,0.4401000000,3561.9581000000,0.0000000000,593.6596833333,0.0000000000,593.6596833333,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,261.2696266350,0.0000000000,0.0000000000
26,4:20,4:10-4:20,4.1666666667,4.3333333333,0.1666666667,0.4389000000,3556.7183000000,0.0000000000,592.7863833333,0.0000000000,592.7863833333,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,260.1739436450,0.0000000000,0.0000000000
27,4:30,4:20-4:30,4.3333333333,4.5000000000,0.1666666667,0.4364000000,3560.0272000000,0.0000000000,593.3378666667,0.0000000000,593.3378666667,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,258.9326450133,0.0000000000,0.0000000000
28,4:40,4:30-4:40,4.5000000000,4.6666666667,0.1666666667,0.4393000000,3580.6540000000,0.5994000000,596.7756666667,0.0999000000,596.6757666667,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,262.1196642967,0.0000000000,0.0000000000
29,4:50,4:40-4:50,4.6666666667,4.8333333333,0.1666666667,0.4422000000,3586.9160000000,0.2345000000,597.8193333333,0.0390833333,597.7802500000,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,264.3384265500,0.0000000000,0.0000000000
30,5:00,4:50-5:00,4.8333333333,5.0000000000,0.1666666667,0.4395000000,3571.2635000000,0.2885000000,595.2105833333,0.0480833333,595.1625000000,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,261.5739187500,0.0000000000,0.0000000000
31,5:10,5:00-5:10,5.0000000000,5.1666666667,0.1666666667,0.4333000000,3562.3171000000,18.6781000000,593.7195166667,3.1130166667,590.6065000000,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,255.9097964500,0.0000000000,0.0000000000
32,5:20,5:10-5:20,5.1666666667,5.3333333333,0.1666666667,0.4439000000,3591.3809000000,54.4698000000,598.5634833333,9.0783000000,589.4851833333,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,261.6724728817,0.0000000000,0.0000000000
33,5:30,5:20-5:30,5.3333333333,5.5000000000,0.1666666667,0.4301000000,3579.7045000000,108.9718000000,596.6174166667,18.1619666667,578.4554500000,0.0000000000,0.0000000000,0.0000000000,10050.0000000000,10050.0000000000,248.7936890450,0.0000000000,0.0000000000
34,5:40,5:30-5:40,5.5000000000,5.6666666667,0.1666666667,0.3713000000,3486.1190000000,184.1603000000,581.0198333333,30.6933833333,1383.6597833333,833.3333333333,0.0000000000,0.0000000000,10050.0000000000,10800.0000000000,513.7528775517,-0.0000000000,0.0000000000
35,5:50,5:40-5:50,5.6666666667,5.8333333333,0.1666666667,0.5708000000,3823.8994000000,277.0582000000,637.3165666667,46.1763666667,591.1402000000,0.0000000000,-0.0000000000,0.0000000000,10800.0000000000,10800.0000000000,337.4228261600,0.0000000000,0.0000000000
36,6:00,5:50-6:00,5.8333333333,6.0000000000,0.1666666667,0.9099000000,4398.0727000000,388.5494000000,733.0121166667,64.7582333333,0.0000000000,0.0000000000,668.2538833333,0.0000000000,10800.0000000000,10057.4956851852,0.0000000000,0.0000000000,0.0000000000
37,6:10,6:00-6:10,6.0000000000,6.1666666667,0.1666666667,0.9368000000,4454.0123000000,521.2803000000,742.3353833333,86.8800500000,0.0000000000,0.0000000000,655.4553333333,0.0000000000,10057.4956851852,9329.2119814815,0.0000000000,0.0000000000,-0.0000000000
38,6:20,6:10-6:20,6.1666666667,6.3333333333,0.1666666667,0.8758000000,4371.7919000000,672.7677000000,728.6319833333,112.1279500000,0.0000000000,0.0000000000,616.5040333333,0.0000000000,9329.2119814815,8644.2075000000,0.0000000000,0.0000000000,0.0000000000
39,6:30,6:20-6:30,6.3333333333,6.5000000000,0.1666666667,0.8759000000,4392.9530000000,844.2261000000,732.1588333333,140.7043500000,0.0000000000,0.0000000000,591.4544833333,0.0000000000,8644.2075000000,7987.0358518519,0.0000000000,0.0000000000,0.0000000000
40,6:40,6:30-6:40,6.5000000000,6.6666666667,0.1666666667,0.8601000000,4384.5956000000,1039.6744000000,730.7659333333,173.2790666667,0.0000000000,0.0000000000,557.4868666667,0.0000000000,7987.0358518519,7367.6060000000,0.0000000000,0.0000000000,0.0000000000
41,6:50,6:40-6:50,6.6666666667,6.8333333333,0.1666666667,0.8442000000,4434.7757000000,1259.3375000000,739.1292833333,209.8895833333,0.0000000000,0.0000000000,529.2397000000,0.0000000000,7367.6060000000,6779.5618888889,0.0000000000,0.0000000000,-0.0000000000
42,7:00,6:50-7:00,6.8333333333,7.0000000000,0.1666666667,0.8334000000,4523.4561000000,1508.6318000000,753.9093500000,251.4386333333,0.0000000000,0.0000000000,502.4707166667,0.0000000000,6779.5618888889,6221.2610925926,0.0000000000,0.0000000000,-0.0000000000
43,7:10,7:00-7:10,7.0000000000,7.1666666667,0.1666666667,0.8092000000,4524.0721000000,1791.4107000000,754.0120166667,298.5684500000,0.0000000000,0.0000000000,455.4435666667,0.0000000000,6221.2610925926,5715.2126851852,0.0000000000,0.0000000000,-0.0000000000
44,7:20,7:10-7:20,7.1666666667,7.3333333333,0.1666666667,0.7972000000,4545.8867000000,2085.4865000000,757.6477833333,347.5810833333,0.0000000000,0.0000000000,410.0667000000,0.0000000000,5715.2126851852,5259.5830185185,0.0000000000,0.0000000000,0.0000000000
45,7:30,7:20-7:30,7.3333333333,7.5000000000,0.1666666667,0.7644000000,4523.2418000000,2381.2611000000,753.8736333333,396.8768500000,0.0000000000,0.0000000000,356.9967833333,0.0000000000,5259.5830185185,4862.9199259259,0.0000000000,0.0000000000,-0.0000000000
46,7:40,7:30-7:40,7.5000000000,7.6666666667,0.1666666667,0.6899000000,4383.3566000000,2683.1752000000,730.5594333333,447.1958666667,0.0000000000,0.0000000000,283.3635666667,0.0000000000,4862.9199259259,4548.0715185185,0.0000000000,0.0000000000,-0.0000000000
47,7:50,7:40-7:50,7.6666666667,7.8333333333,0.1666666667,0.8600000000,4910.4599000000,2986.3552000000,818.4099833333,497.7258666667,0.0000000000,0.0000000000,320.6841166667,0.0000000000,4548.0715185185,4191.7558333333,0.0000000000,0.0000000000,-0.0000000000
48,8:00,7:50-8:00,7.8333333333,8.0000000000,0.1666666667,1.1617000000,5799.7327000000,3289.2040000000,966.6221166667,548.2006666667,0.0000000000,0.0000000000,418.4214500000,0.0000000000,4191.7558333333,3726.8431111111,0.0000000000,0.0000000000,-0.0000000000
49,8:10,8:00-8:10,8.0000000000,8.1666666667,0.1666666667,1.1683000000,5884.8260000000,3593.3613000000,980.8043333333,598.8935500000,0.0000000000,0.0000000000,381.9107833333,0.0000000000,3726.8431111111,3302.4977962963,0.0000000000,0.0000000000,0.0000000000
50,8:20,8:10-8:20,8.1666666667,8.3333333333,0.1666666667,1.0956000000,5748.0713000000,3890.7332000000,958.0118833333,648.4555333333,0.0000000000,0.0000000000,309.5563500000,0.0000000000,3302.4977962963,2958.5462962963,0.0000000000,0.0000000000,-0.0000000000
51,8:30,8:20-8:30,8.3333333333,8.5000000000,0.1666666667,1.0849000000,5769.0581000000,4181.3417000000,961.5096833333,696.8902833333,0.0000000000,0.0000000000,264.6194000000,0.0000000000,2958.5462962963,2664.5247407407,0.0000000000,0.0000000000,0.0000000000
52,8:40,8:30-8:40,8.5000000000,8.6666666667,0.1666666667,1.0610000000,5754.2105000000,4471.7657000000,959.0350833333,745.2942833333,0.0000000000,0.0000000000,213.7408000000,0.0000000000,2664.5247407407,2427.0349629630,0.0000000000,0.0000000000,0.0000000000
53,8:50,8:40-8:50,8.6666666667,8.8333333333,0.1666666667,1.0430000000,5824.1807000000,4752.8272000000,970.6967833333,792.1378666667,0.0000000000,0.0000000000,178.5589166667,0.0000000000,2427.0349629630,2228.6361666667,0.0000000000,0.0000000000,-0.0000000000
54,9:00,8:50-9:00,8.8333333333,9.0000000000,0.1666666667,1.0360000000,5954.2601000000,5021.9074000000,992.3766833333,836.9845666667,0.0000000000,0.0000000000,155.3921166667,0.0000000000,2228.6361666667,2055.9782592593,0.0000000000,0.0000000000,0.0000000000
55,9:10,9:00-9:10,9.0000000000,9.1666666667,0.1666666667,1.0147000000,5958.9696000000,5285.4126000000,993.1616000000,880.9021000000,0.0000000000,0.0000000000,112.2595000000,0.0000000000,2055.9782592593,1931.2454814815,0.0000000000,0.0000000000,-0.0000000000
56,9:20,9:10-9:20,9.1666666667,9.3333333333,0.1666666667,0.9922000000,5929.5554000000,5543.1742000000,988.2592333333,923.8623666667,0.0000000000,0.0000000000,64.3968666667,0.0000000000,1931.2454814815,1859.6934074074,0.0000000000,0.0000000000,0.0000000000
57,9:30,9:20-9:30,9.3333333333,9.5000000000,0.1666666667,0.9700000000,5923.7828000000,5788.4093000000,987.2971333333,964.7348833333,0.0000000000,0.0000000000,22.5622500000,0.0000000000,1859.6934074074,1834.6242407407,0.0000000000,0.0000000000,-0.0000000000
58,9:40,9:30-9:40,9.5000000000,9.6666666667,0.1666666667,0.9422000000,5907.5860000000,6012.1304000000,984.5976666667,1002.0217333333,0.0000000000,17.4240666667,0.0000000000,0.0000000000,1834.6242407407,1850.3059007407,0.0000000000,0.0000000000,0.0000000000
59,9:50,9:40-9:50,9.6666666667,9.8333333333,0.1666666667,0.9569000000,5899.1262000000,6216.1528000000,983.1877000000,1036.0254666667,0.0000000000,52.8377666667,0.0000000000,0.0000000000,1850.3059007407,1897.8598907407,0.0000000000,0.0000000000,0.0000000000
60,10:00,9:50-10:00,9.8333333333,10.0000000000,0.1666666667,0.9977000000,5902.2196000000,6409.5941000000,983.7032666667,1068.2656833333,0.0000000000,84.5624166667,0.0000000000,0.0000000000,1897.8598907407,1973.9660657407,0.0000000000,0.0000000000,-0.0000000000
61,10:10,10:00-10:10,10.0000000000,10.1666666667,0.1666666667,0.9919000000,5897.4793000000,6599.3808000000,982.9132166667,1099.8968000000,0.0000000000,116.9835833333,0.0000000000,0.0000000000,1973.9660657407,2079.2512907407,0.0000000000,0.0000000000,0.0000000000
62,10:20,10:10-10:20,10.1666666667,10.3333333333,0.1666666667,0.9588000000,5886.7568000000,6766.7204000000,981.1261333333,1127.7867333333,0.0000000000,146.6606000000,0.0000000000,0.0000000000,2079.2512907407,2211.2458307407,0.0000000000,0.0000000000,0.0000000000
63,10:30,10:20-10:30,10.3333333333,10.5000000000,0.1666666667,0.9549000000,5873.4708000000,6914.5923000000,978.9118000000,1152.4320500000,0.0000000000,173.5202500000,0.0000000000,0.0000000000,2211.2458307407,2367.4140557407,0.0000000000,0.0000000000,-0.0000000000
64,10:40,10:30-10:40,10.5000000000,10.6666666667,0.1666666667,0.9839000000,5858.0308000000,7064.2053000000,976.3384666667,1177.3675500000,0.0000000000,201.0290833333,0.0000000000,0.0000000000,2367.4140557407,2548.3402307407,0.0000000000,0.0000000000,0.0000000000
65,10:50,10:40-10:50,10.6666666667,10.8333333333,0.1666666667,0.7990000000,5844.9948000000,7197.4315000000,974.1658000000,1199.5719166667,0.0000000000,225.4061166667,0.0000000000,0.0000000000,2548.3402307407,2751.2057357407,0.0000000000,0.0000000000,-0.0000000000
66,11:00,10:50-11:00,10.8333333333,11.0000000000,0.1666666667,0.5025000000,5839.0587000000,7303.1142000000,973.1764500000,1217.1857000000,0.0000000000,244.0092500000,0.0000000000,0.0000000000,2751.2057357407,2970.8140607407,0.0000000000,0.0000000000,0.0000000000
67,11:10,11:00-11:10,11.0000000000,11.1666666667,0.1666666667,0.4662000000,5838.7103000000,7387.6848000000,973.1183833333,1231.2808000000,575.1709166667,833.3333333333,0.0000000000,0.0000000000,2970.8140607407,3720.8140607407,268.1446813500,0.0000000000,0.0000000000
68,11:20,11:10-11:20,11.1666666667,11.3333333333,0.1666666667,0.5007000000,5823.4378000000,7459.2270000000,970.5729666667,1243.2045000000,0.0000000000,272.6315333333,0.0000000000,0.0000000000,3720.8140607407,3966.1824407407,0.0000000000,0.0000000000,0.0000000000
69,11:30,11:20-11:30,11.3333333333,11.5000000000,0.1666666667,0.4827000000,5814.7932000000,7520.7191000000,969.1322000000,1253.4531833333,0.0000000000,284.3209833333,0.0000000000,0.0000000000,3966.1824407407,4222.0713257407,0.0000000000,0.0000000000,0.0000000000
70,11:40,11:30-11:40,11.5000000000,11.6666666667,0.1666666667,0.4785000000,5832.3951000000,7568.2039000000,972.0658500000,1261.3673166667,179.2771713992,468.5786380658,0.0000000000,0.0000000000,4222.0713257407,4643.7921000000,85.7841265145,-0.0000000000,0.0000000000
71,11:50,11:40-11:50,11.6666666667,11.8333333333,0.1666666667,0.4662000000,5712.9010000000,7592.1539000000,952.1501666667,1265.3589833333,520.1245166667,833.3333333333,0.0000000000,0.0000000000,4643.7921000000,5393.7921000000,242.4820496700,0.0000000000,0.0000000000
72,12:00,11:50-12:00,11.8333333333,12.0000000000,0.1666666667,0.4432000000,5519.4607000000,7601.0433000000,919.9101166667,1266.8405500000,486.4029000000,833.3333333333,0.0000000000,0.0000000000,5393.7921000000,6143.7921000000,215.5737652800,0.0000000000,0.0000000000
73,12:10,12:00-12:10,12.0000000000,12.1666666667,0.1666666667,0.4411000000,5494.7907000000,7612.3160000000,915.7984500000,1268.7193333333,480.4124500000,833.3333333333,0.0000000000,0.0000000000,6143.7921000000,6893.7921000000,211.9099316950,0.0000000000,0.0000000000
74,12:20,12:10-12:20,12.1666666667,12.3333333333,0.1666666667,0.4551000000,5514.4524000000,7602.6524000000,919.0754000000,1267.1087333333,485.3000000000,833.3333333333,0.0000000000,0.0000000000,6893.7921000000,7643.7921000000,220.8600300000,0.0000000000,0.0000000000
75,12:30,12:20-12:30,12.3333333333,12.5000000000,0.1666666667,0.4463000000,5485.8290000000,7554.1872000000,914.3048333333,1259.0312000000,488.6069666667,833.3333333333,0.0000000000,0.0000000000,7643.7921000000,8393.7921000000,218.0652892233,0.0000000000,0.0000000000
76,12:40,12:30-12:40,12.5000000000,12.6666666667,0.1666666667,0.4113000000,5462.3628000000,7472.7384000000,910.3938000000,1245.4564000000,498.2707333333,833.3333333333,0.0000000000,0.0000000000,8393.7921000000,9143.7921000000,204.9387526200,0.0000000000,0.0000000000
77,12:50,12:40-12:50,12.6666666667,12.8333333333,0.1666666667,0.5682000000,5566.1066000000,7393.4172000000,927.6844333333,1232.2362000000,0.0000000000,304.5517666667,0.0000000000,0.0000000000,9143.7921000000,9417.8886900000,0.0000000000,0.0000000000,-0.0000000000
78,13:00,12:50-13:00,12.8333333333,13.0000000000,0.1666666667,0.8279000000,5725.7548000000,7312.7979000000,954.2924666667,1218.7996500000,0.0000000000,264.5071833333,0.0000000000,0.0000000000,9417.8886900000,9655.9451550000,0.0000000000,0.0000000000,-0.0000000000
79,13:10,13:00-13:10,13.0000000000,13.1666666667,0.1666666667,0.8636000000,5739.4957000000,7194.5410000000,956.5826166667,1199.0901666667,0.0000000000,242.5075500000,0.0000000000,0.0000000000,9655.9451550000,9874.2019500000,0.0000000000,0.0000000000,-0.0000000000
80,13:20,13:10-13:20,13.1666666667,13.3333333333,0.1666666667,0.8416000000,5714.6836000000,7053.1371000000,952.4472666667,1175.5228500000,0.0000000000,223.0755833333,0.0000000000,0.0000000000,9874.2019500000,10074.9699750000,0.0000000000,0.0000000000,-0.0000000000
81,13:30,13:20-13:30,13.3333333333,13.5000000000,0.1666666667,0.8618000000,5717.8505000000,6910.4064000000,952.9750833333,1151.7344000000,0.0000000000,198.7593166667,0.0000000000,0.0000000000,10074.9699750000,10253.8533600000,0.0000000000,0.0000000000,-0.0000000000
82,13:40,13:30-13:40,13.5000000000,13.6666666667,0.1666666667,0.8623000000,5708.2486000000,6772.4075000000,951.3747666667,1128.7345833333,0.0000000000,177.3598166667,0.0000000000,0.0000000000,10253.8533600000,10413.4771950000,0.0000000000,0.0000000000,0.0000000000
83,13:50,13:40-13:50,13.6666666667,13.8333333333,0.1666666667,0.9026000000,5696.9182000000,6607.3600000000,949.4863666667,1101.2266666667,0.0000000000,151.7403000000,0.0000000000,0.0000000000,10413.4771950000,10550.0434650000,0.0000000000,0.0000000000,-0.0000000000
84,14:00,13:50-14:00,13.8333333333,14.0000000000,0.1666666667,0.9754000000,5692.2983000000,6412.5085000000,948.7163833333,1068.7514166667,0.0000000000,120.0350333333,0.0000000000,0.0000000000,10550.0434650000,10658.0749950000,0.0000000000,0.0000000000,0.0000000000
85,14:10,14:00-14:10,14.0000000000,14.1666666667,0.1666666667,1.0002000000,5687.1291000000,6214.0158000000,947.8548500000,1035.6693000000,0.0000000000,87.8144500000,0.0000000000,0.0000000000,10658.0749950000,10737.1080000000,0.0000000000,0.0000000000,-0.0000000000
86,14:20,14:10-14:20,14.1666666667,14.3333333333,0.1666666667,0.9978000000,5678.9620000000,6000.7112000000,946.4936666667,1000.1185333333,0.0000000000,53.6248666667,0.0000000000,0.0000000000,10737.1080000000,10785.3703800000,0.0000000000,0.0000000000,0.0000000000
87,14:30,14:20-14:30,14.3333333333,14.5000000000,0.1666666667,1.0271000000,5669.4508000000,5766.9816000000,944.9084666667,961.1636000000,0.0000000000,16.2551333333,0.0000000000,0.0000000000,10785.3703800000,10800.0000000000,0.0000000000,0.0000000000,-0.0000000000
88,14:40,14:30-14:40,14.5000000000,14.6666666667,0.1666666667,1.0906000000,5664.1948000000,5521.5066000000,944.0324666667,920.2511000000,0.0000000000,0.0000000000,23.7813666667,0.0000000000,10800.0000000000,10773.5762592593,0.0000000000,0.0000000000,0.0000000000
89,14:50,14:40-14:50,14.6666666667,14.8333333333,0.1666666667,0.9376000000,5672.7011000000,5268.7810000000,945.4501833333,878.1301666667,0.0000000000,0.0000000000,67.3200166667,0.0000000000,10773.5762592593,10698.7762407407,0.0000000000,0.0000000000,-0.0000000000
90,15:00,14:50-15:00,14.8333333333,15.0000000000,0.1666666667,0.6694000000,5682.2544000000,5009.7152000000,947.0424000000,834.9525333333,112.0898666667,0.0000000000,0.0000000000,0.0000000000,10698.7762407407,10698.7762407407,75.0329567467,0.0000000000,0.0000000000
91,15:10,15:00-15:10,15.0000000000,15.1666666667,0.1666666667,0.6600000000,5669.0195000000,4743.4484000000,944.8365833333,790.5747333333,266.7326936214,112.4708436214,0.0000000000,0.0000000000,10698.7762407407,10800.0000000000,176.0435777901,-0.0000000000,0.0000000000
92,15:20,15:10-15:20,15.1666666667,15.3333333333,0.1666666667,0.7217000000,5656.3651000000,4471.2240000000,942.7275166667,745.2040000000,197.5235166667,0.0000000000,0.0000000000,0.0000000000,10800.0000000000,10800.0000000000,142.5527219783,0.0000000000,0.0000000000
93,15:30,15:20-15:30,15.3333333333,15.5000000000,0.1666666667,0.7308000000,5657.0867000000,4188.2025000000,942.8477833333,698.0337500000,244.8140333333,0.0000000000,0.0000000000,0.0000000000,10800.0000000000,10800.0000000000,178.9100955600,0.0000000000,0.0000000000
94,15:40,15:30-15:40,15.5000000000,15.6666666667,0.1666666667,0.7534000000,5662.6008000000,3889.3931000000,943.7668000000,648.2321833333,295.5346166667,0.0000000000,0.0000000000,0.0000000000,10800.0000000000,10800.0000000000,222.6557801967,0.0000000000,0.0000000000
95,15:50,15:40-15:50,15.6666666667,15.8333333333,0.1666666667,0.7823000000,5669.2596000000,3594.5946000000,944.8766000000,599.0991000000,345.7775000000,0.0000000000,0.0000000000,0.0000000000,10800.0000000000,10800.0000000000,270.5017382500,0.0000000000,0.0000000000
96,16:00,15:50-16:00,15.8333333333,16.0000000000,0.1666666667,0.8055000000,5673.4767000000,3303.8878000000,945.5794500000,550.6479666667,394.9314833333,0.0000000000,0.0000000000,0.0000000000,10800.0000000000,10800.0000000000,318.1173098250,0.0000000000,0.0000000000
97,16:10,16:00-16:10,16.0000000000,16.1666666667,0.1666666667,0.8271000000,5671.0146000000,2998.4247000000,945.1691000000,499.7374500000,445.4316500000,0.0000000000,0.0000000000,0.0000000000,10800.0000000000,10800.0000000000,368.4165177150,0.0000000000,0.0000000000
98,16:20,16:10-16:20,16.1666666667,16.3333333333,0.1666666667,0.8519000000,5661.5926000000,2687.4131000000,943.5987666667,447.9021833333,495.6965833333,0.0000000000,0.0000000000,0.0000000000,10800.0000000000,10800.0000000000,422.2839193417,0.0000000000,0.0000000000
99,16:30,16:20-16:30,16.3333333333,16.5000000000,0.1666666667,0.8791000000,5665.8922000000,2383.1779000000,944.3153666667,397.1963166667,547.1190500000,0.0000000000,0.0000000000,0.0000000000,10800.0000000000,10800.0000000000,480.9723568550,0.0000000000,0.0000000000
