slot_id,source_file,source_sheet,source_row,source_time_cell,raw_time_value,raw_time_type,raw_time_number_format,time_marker_normalized,price_fixed_yuan_per_kwh,load_kw,pv_forecast_kw
22,附件1.xlsx,Sheet1,23,A23,0.15277777777777776,excel_numeric_time_serial,h:mm,3:40,0.4353,3541.2787,0
23,附件1.xlsx,Sheet1,24,A24,0.15972222222222224,excel_numeric_time_serial,h:mm,3:50,0.436,3546.3976,0
24,附件1.xlsx,Sheet1,25,A25,0.16666666666666666,excel_numeric_time_serial,h:mm,4:00,0.4378,3560.207,0
25,附件1.xlsx,Sheet1,26,A26,0.17361111111111113,excel_numeric_time_serial,h:mm,4:10,0.4401,3561.9581,0
26,附件1.xlsx,Sheet1,27,A27,0.18055555555555555,excel_numeric_time_serial,h:mm,4:20,0.4389,3556.7183,0
27,附件1.xlsx,Sheet1,28,A28,0.1875,excel_numeric_time_serial,h:mm,4:30,0.4364,3560.0272,0
28,附件1.xlsx,Sheet1,29,A29,0.19444444444444445,excel_numeric_time_serial,h:mm,4:40,0.4393,3580.654,0.5994
29,附件1.xlsx,Sheet1,30,A30,0.20138888888888887,excel_numeric_time_serial,h:mm,4:50,0.4422,3586.916,0.2345
30,附件1.xlsx,Sheet1,31,A31,0.20833333333333334,excel_numeric_time_serial,h:mm,5:00,0.4395,3571.2635,0.2885
31,附件1.xlsx,Sheet1,32,A32,0.21527777777777779,excel_numeric_time_serial,h:mm,5:10,0.4333,3562.3171,18.6781
32,附件1.xlsx,Sheet1,33,A33,0.22222222222222221,excel_numeric_time_serial,h:mm,5:20,0.4439,3591.3809,54.4698
33,附件1.xlsx,Sheet1,34,A34,0.22916666666666666,excel_numeric_time_serial,h:mm,5:30,0.4301,3579.7045,108.9718
34,附件1.xlsx,Sheet1,35,A35,0.23611111111111113,excel_numeric_time_serial,h:mm,5:40,0.3713,3486.119,184.1603
35,附件1.xlsx,Sheet1,36,A36,0.24305555555555555,excel_numeric_time_serial,h:mm,5:50,0.5708,3823.8994,277.0582
36,附件1.xlsx,Sheet1,37,A37,0.25,excel_numeric_time_serial,h:mm,6:00,0.9099,4398.0727,388.5494
37,附件1.xlsx,Sheet1,38,A38,0.25694444444444448,excel_numeric_time_serial,h:mm,6:10,0.9368,4454.0123,521.2803
38,附件1.xlsx,Sheet1,39,A39,0.2638888888888889,excel_numeric_time_serial,h:mm,6:20,0.8758,4371.7919,672.7677
39,附件1.xlsx,Sheet1,40,A40,0.27083333333333331,excel_numeric_time_serial,h:mm,6:30,0.8759,4392.953,844.2261
40,附件1.xlsx,Sheet1,41,A41,0.27777777777777779,excel_numeric_time_serial,h:mm,6:40,0.8601,4384.5956,1039.6744
41,附件1.xlsx,Sheet1,42,A42,0.28472222222222221,excel_numeric_time_serial,h:mm,6:50,0.8442,4434.7757,1259.3375
42,附件1.xlsx,Sheet1,43,A43,0.29166666666666669,excel_numeric_time_serial,h:mm,7:00,0.8334,4523.4561,1508.6318
43,附件1.xlsx,Sheet1,44,A44,0.2986111111111111,excel_numeric_time_serial,h:mm,7:10,0.8092,4524.0721,1791.4107
44,附件1.xlsx,Sheet1,45,A45,0.30555555555555552,excel_numeric_time_serial,h:mm,7:20,0.7972,4545.8867,2085.4865
45,附件1.xlsx,Sheet1,46,A46,0.3125,excel_numeric_time_serial,h:mm,7:30,0.7644,4523.2418,2381.2611
46,附件1.xlsx,Sheet1,47,A47,0.31944444444444448,excel_numeric_time_serial,h:mm,7:40,0.6899,4383.3566,2683.1752
47,附件1.xlsx,Sheet1,48,A48,0.3263888888888889,excel_numeric_time_serial,h:mm,7:50,0.86,4910.4599,2986.3552
48,附件1.xlsx,Sheet1,49,A49,0.33333333333333331,excel_numeric_time_serial,h:mm,8:00,1.1617,5799.7327,3289.204
49,附件1.xlsx,Sheet1,50,A50,0.34027777777777773,excel_numeric_time_serial,h:mm,8:10,1.1683,5884.826,3593.3613
50,附件1.xlsx,Sheet1,51,A51,0.34722222222222227,excel_numeric_time_serial,h:mm,8:20,1.0956,5748.0713,3890.7332
51,附件1.xlsx,Sheet1,52,A52,0.35416666666666669,excel_numeric_time_serial,h:mm,8:30,1.0849,5769.0581,4181.3417
52,附件1.xlsx,Sheet1,53,A53,0.3611111111111111,excel_numeric_time_serial,h:mm,8:40,1.061,5754.2105,4471.7657
53,附件1.xlsx,Sheet1,54,A54,0.36805555555555558,excel_numeric_time_serial,h:mm,8:50,1.043,5824.1807,4752.8272
54,附件1.xlsx,Sheet1,55,A55,0.375,excel_numeric_time_serial,h:mm,9:00,1.036,5954.2601,5021.9074
55,附件1.xlsx,Sheet1,56,A56,0.38194444444444442,excel_numeric_time_serial,h:mm,9:10,1.0147,5958.9696,5285.4126
56,附件1.xlsx,Sheet1,57,A57,0.3888888888888889,excel_numeric_time_serial,h:mm,9:20,0.9922,5929.5554,5543.1742
57,附件1.xlsx,Sheet1,58,A58,0.39583333333333331,excel_numeric_time_serial,h:mm,9:30,0.97,5923.7828,5788.4093
58,附件1.xlsx,Sheet1,59,A59,0.40277777777777773,excel_numeric_time_serial,h:mm,9:40,0.9422,5907.586,6012.1304
59,附件1.xlsx,Sheet1,60,A60,0.40972222222222227,excel_numeric_time_serial,h:mm,9:50,0.9569,5899.1262,6216.1528
60,附件1.xlsx,Sheet1,61,A61,0.41666666666666669,excel_numeric_time_serial,h:mm,10:00,0.9977,5902.2196,6409.5941
61,附件1.xlsx,Sheet1,62,A62,10:10,shared_string_text,General,10:10,0.9919,5897.4793,6599.3808
62,附件1.xlsx,Sheet1,63,A63,10:20,shared_string_text,General,10:20,0.9588,5886.7568,6766.7204
63,附件1.xlsx,Sheet1,64,A64,10:30,shared_string_text,General,10:30,0.9549,5873.4708,6914.5923
64,附件1.xlsx,Sheet1,65,A65,10:40,shared_string_text,General,10:40,0.9839,5858.0308,7064.2053
65,附件1.xlsx,Sheet1,66,A66,10:50,shared_string_text,General,10:50,0.799,5844.9948,7197.4315
66,附件1.xlsx,Sheet1,67,A67,11:00,shared_string_text,General,11:00,0.5025,5839.0587,7303.1142
67,附件1.xlsx,Sheet1,68,A68,11:10,shared_string_text,General,11:10,0.4662,5838.7103,7387.6848
68,附件1.xlsx,Sheet1,69,A69,11:20,shared_string_text,General,11:20,0.5007,5823.4378,7459.227
69,附件1.xlsx,Sheet1,70,A70,11:30,shared_string_text,General,11:30,0.4827,5814.7932,7520.7191
70,附件1.xlsx,Sheet1,71,A71,11:40,shared_string_text,General,11:40,0.4785,5832.3951,7568.2039
71,附件1.xlsx,Sheet1,72,A72,11:50,shared_string_text,General,11:50,0.4662,5712.901,7592.1539
72,附件1.xlsx,Sheet1,73,A73,12:00,shared_string_text,General,12:00,0.4432,5519.4607,7601.0433
73,附件1.xlsx,Sheet1,74,A74,12:10,shared_string_text,General,12:10,0.4411,5494.7907,7612.316
74,附件1.xlsx,Sheet1,75,A75,12:20,shared_string_text,General,12:20,0.4551,5514.4524,7602.6524
75,附件1.xlsx,Sheet1,76,A76,12:30,shared_string_text,General,12:30,0.4463,5485.829,7554.1872
76,附件1.xlsx,Sheet1,77,A77,12:40,shared_string_text,General,12:40,0.4113,5462.3628,7472.7384
77,附件1.xlsx,Sheet1,78,A78,12:50,shared_string_text,General,12:50,0.5682,5566.1066,7393.4172
78,附件1.xlsx,Sheet1,79,A79,13:00,shared_string_text,General,13:00,0.8279,5725.7548,7312.7979
79,附件1.xlsx,Sheet1,80,A80,13:10,shared_string_text,General,13:10,0.8636,5739.4957,7194.541
80,附件1.xlsx,Sheet1,81,A81,13:20,shared_string_text,General,13:20,0.8416,5714.6836,7053.1371
81,附件1.xlsx,Sheet1,82,A82,13:30,shared_string_text,General,13:30,0.8618,5717.8505,6910.4064
82,附件1.xlsx,Sheet1,83,A83,13:40,shared_string_text,General,13:40,0.8623,5708.2486,6772.4075
83,附件1.xlsx,Sheet1,84,A84,13:50,shared_string_text,General,13:50,0.9026,5696.9182,6607.36
84,附件1.xlsx,Sheet1,85,A85,14:00,shared_string_text,General,14:00,0.9754,5692.2983,6412.5085
85,附件1.xlsx,Sheet1,86,A86,14:10,shared_string_text,General,14:10,1.0002,5687.1291,6214.0158
86,附件1.xlsx,Sheet1,87,A87,14:20,shared_string_text,General,14:20,0.9978,5678.962,6000.7112
87,附件1.xlsx,Sheet1,88,A88,14:30,shared_string_text,General,14:30,1.0271,5669.4508,5766.9816
88,附件1.xlsx,Sheet1,89,A89,14:40,shared_string_text,General,14:40,1.0906,5664.1948,5521.5066
89,附件1.xlsx,Sheet1,90,A90,14:50,shared_string_text,General,14:50,0.9376,5672.7011,5268.781
90,附件1.xlsx,Sheet1,91,A91,15:00,shared_string_text,General,15:00,0.6694,5682.2544,5009.7152
91,附件1.xlsx,Sheet1,92,A92,15:10,shared_string_text,General,15:10,0.66,5669.0195,4743.4484
92,附件1.xlsx,Sheet1,93,A93,15:20,shared_string_text,General,15:20,0.7217,5656.3651,4471.224
93,附件1.xlsx,Sheet1,94,A94,15:30,shared_string_text,General,15:30,0.7308,5657.0867,4188.2025
94,附件1.xlsx,Sheet1,95,A95,15:40,shared_string_text,General,15:40,0.7534,5662.6008,3889.3931
95,附件1.xlsx,Sheet1,96,A96,15:50,shared_string_text,General,15:50,0.7823,5669.2596,3594.5946
96,附件1.xlsx,Sheet1,97,A97,16:00,shared_string_text,General,16:00,0.8055,5673.4767,3303.8878
97,附件1.xlsx,Sheet1,98,A98,16:10,shared_string_text,General,16:10,0.8271,5671.0146,2998.4247
98,附件1.xlsx,Sheet1,99,A99,16:20,shared_string_text,General,16:20,0.8519,5661.5926,2687.4131
99,附件1.xlsx,Sheet1,100,A100,16:30,shared_string_text,General,16:30,0.8791,5665.8922,2383.1779
100,附件1.xlsx,Sheet1,101,A101,16:40,shared_string_text,General,16:40,0.9024,5689.0372,2089.1246
101,附件1.xlsx,Sheet1,102,A102,16:50,shared_string_text,General,16:50,0.9163,5603.6614,1791.0829
102,附件1.xlsx,Sheet1,103,A103,17:00,shared_string_text,General,17:00,0.9264,5466.7124,1501.7283
103,附件1.xlsx,Sheet1,104,A104,17:10,shared_string_text,General,17:10,0.9462,5467.3939,1255.1723
104,附件1.xlsx,Sheet1,105,A105,17:20,shared_string_text,General,17:20,0.9742,5464.727,1036.3323
105,附件1.xlsx,Sheet1,106,A106,17:30,shared_string_text,General,17:30,0.9862,5492.4458,836.7775
106,附件1.xlsx,Sheet1,107,A107,17:40,shared_string_text,General,17:40,0.976,5621.7308,665.2313
107,附件1.xlsx,Sheet1,108,A108,17:50,shared_string_text,General,17:50,1.0742,5091.2126,516.6758
108,附件1.xlsx,Sheet1,109,A109,18:00,shared_string_text,General,18:00,1.2313,4208.5688,386.6731
109,附件1.xlsx,Sheet1,110,A110,18:10,shared_string_text,General,18:10,1.2561,4122.7611,275.7933
110,附件1.xlsx,Sheet1,111,A111,18:20,shared_string_text,General,18:20,1.2447,4255.9358,182.9526
111,附件1.xlsx,Sheet1,112,A112,18:30,shared_string_text,General,18:30,1.2545,4225.9524,108.3414
112,附件1.xlsx,Sheet1,113,A113,18:40,shared_string_text,General,18:40,1.2522,4233.3384,54.3121
113,附件1.xlsx,Sheet1,114,A114,18:50,shared_string_text,General,18:50,1.2881,4246.4625,18.6569
114,附件1.xlsx,Sheet1,115,A115,19:00,shared_string_text,General,19:00,1.3466,4239.1795,0.2753
115,附件1.xlsx,Sheet1,116,A116,19:10,shared_string_text,General,19:10,1.3523,4244.6684,0.2296
116,附件1.xlsx,Sheet1,117,A117,19:20,shared_string_text,General,19:20,1.3445,4251.9187,0.6007
117,附件1.xlsx,Sheet1,118,A118,19:30,shared_string_text,General,19:30,1.3483,4256.6813,0
118,附件1.xlsx,Sheet1,119,A119,19:40,shared_string_text,General,19:40,1.349,4267.3947,0
119,附件1.xlsx,Sheet1,120,A120,19:50,shared_string_text,General,19:50,1.3473,4269.975,0
120,附件1.xlsx,Sheet1,121,A121,20:00,shared_string_text,General,20:00,1.3482,4268.6702,0
121,附件1.xlsx,Sheet1,122,A122,20:10,shared_string_text,General,20:10,1.3513,4282.2245,0
122,附件1.xlsx,Sheet1,123,A123,20:20,shared_string_text,General,20:20,1.34,4291.7049,0
123,附件1.xlsx,Sheet1,124,A124,20:30,shared_string_text,General,20:30,1.3489,4291.3611,0
124,附件1.xlsx,Sheet1,125,A125,20:40,shared_string_text,General,20:40,1.3952,4293.9182,0
125,附件1.xlsx,Sheet1,126,A126,20:50,shared_string_text,General,20:50,1.2226,4295.2135,0
126,附件1.xlsx,Sheet1,127,A127,21:00,shared_string_text,General,21:00,0.9332,4302.0307,0
127,附件1.xlsx,Sheet1,128,A128,21:10,shared_string_text,General,21:10,0.9068,4320.9618,0
128,附件1.xlsx,Sheet1,129,A129,21:20,shared_string_text,General,21:20,0.9371,4302.3292,0
129,附件1.xlsx,Sheet1,130,A130,21:30,shared_string_text,General,21:30,0.9371,4322.6758,0
130,附件1.xlsx,Sheet1,131,A131,21:40,shared_string_text,General,21:40,0.9871,4428.8083,0
131,附件1.xlsx,Sheet1,132,A132,21:50,shared_string_text,General,21:50,0.7764,4030.1614,0
132,附件1.xlsx,Sheet1,133,A133,22:00,shared_string_text,General,22:00,0.4209,3362.7419,0
133,附件1.xlsx,Sheet1,134,A134,22:10,shared_string_text,General,22:10,0.3859,3309.3934,0
134,附件1.xlsx,Sheet1,135,A135,22:20,shared_string_text,General,22:20,0.4368,3412.9563,0
135,附件1.xlsx,Sheet1,136,A136,22:30,shared_string_text,General,22:30,0.4198,3381.9313,0
136,附件1.xlsx,Sheet1,137,A137,22:40,shared_string_text,General,22:40,0.4186,3386.5592,0
137,附件1.xlsx,Sheet1,138,A138,22:50,shared_string_text,General,22:50,0.4241,3400.4846,0
138,附件1.xlsx,Sheet1,139,A139,23:00,shared_string_text,General,23:00,0.4237,3399.2426,0
139,附件1.xlsx,Sheet1,140,A140,23:10,shared_string_text,General,23:10,0.4248,3406.9809,0
140,附件1.xlsx,Sheet1,141,A141,23:20,shared_string_text,General,23:20,0.424,3416.1518,0
141,附件1.xlsx,Sheet1,142,A142,23:30,shared_string_text,General,23:30,0.422,3421.9811,0
142,附件1.xlsx,Sheet1,143,A143,23:40,shared_string_text,General,23:40,0.424,3429.6923,0
143,附件1.xlsx,Sheet1,144,A144,23:50,shared_string_text,General,23:50,0.4271,3439.061,0
144,附件1.xlsx,Sheet1,145,A145,0:00+1,shared_string_text,General,0:00+1,0.4276,3444.7259,0
