hypothesis,slot_id,source_marker,interval_start_minute,interval_end_minute,interval_label,inside_0_24_day,covers_requested_10_00_10_10,final_convention_selected
H-END,73,12:10,720,730,12:00-12:10,true,false,false
H-START,73,12:10,730,740,12:10-12:20,true,false,false
H-END,74,12:20,730,740,12:10-12:20,true,false,false
H-START,74,12:20,740,750,12:20-12:30,true,false,false
H-END,75,12:30,740,750,12:20-12:30,true,false,false
H-START,75,12:30,750,760,12:30-12:40,true,false,false
H-END,76,12:40,750,760,12:30-12:40,true,false,false
H-START,76,12:40,760,770,12:40-12:50,true,false,false
H-END,77,12:50,760,770,12:40-12:50,true,false,false
H-START,77,12:50,770,780,12:50-13:00,true,false,false
H-END,78,13:00,770,780,12:50-13:00,true,false,false
H-START,78,13:00,780,790,13:00-13:10,true,false,false
H-END,79,13:10,780,790,13:00-13:10,true,false,false
H-START,79,13:10,790,800,13:10-13:20,true,false,false
H-END,80,13:20,790,800,13:10-13:20,true,false,false
H-START,80,13:20,800,810,13:20-13:30,true,false,false
H-END,81,13:30,800,810,13:20-13:30,true,false,false
H-START,81,13:30,810,820,13:30-13:40,true,false,false
H-END,82,13:40,810,820,13:30-13:40,true,false,false
H-START,82,13:40,820,830,13:40-13:50,true,false,false
H-END,83,13:50,820,830,13:40-13:50,true,false,false
H-START,83,13:50,830,840,13:50-14:00,true,false,false
H-END,84,14:00,830,840,13:50-14:00,true,false,false
H-START,84,14:00,840,850,14:00-14:10,true,false,false
H-END,85,14:10,840,850,14:00-14:10,true,false,false
H-START,85,14:10,850,860,14:10-14:20,true,false,false
H-END,86,14:20,850,860,14:10-14:20,true,false,false
H-START,86,14:20,860,870,14:20-14:30,true,false,false
H-END,87,14:30,860,870,14:20-14:30,true,false,false
H-START,87,14:30,870,880,14:30-14:40,true,false,false
H-END,88,14:40,870,880,14:30-14:40,true,false,false
H-START,88,14:40,880,890,14:40-14:50,true,false,false
H-END,89,14:50,880,890,14:40-14:50,true,false,false
H-START,89,14:50,890,900,14:50-15:00,true,false,false
H-END,90,15:00,890,900,14:50-15:00,true,false,false
H-START,90,15:00,900,910,15:00-15:10,true,false,false
H-END,91,15:10,900,910,15:00-15:10,true,false,false
H-START,91,15:10,910,920,15:10-15:20,true,false,false
H-END,92,15:20,910,920,15:10-15:20,true,false,false
H-START,92,15:20,920,930,15:20-15:30,true,false,false
H-END,93,15:30,920,930,15:20-15:30,true,false,false
H-START,93,15:30,930,940,15:30-15:40,true,false,false
H-END,94,15:40,930,940,15:30-15:40,true,false,false
H-START,94,15:40,940,950,15:40-15:50,true,false,false
H-END,95,15:50,940,950,15:40-15:50,true,false,false
H-START,95,15:50,950,960,15:50-16:00,true,false,false
H-END,96,16:00,950,960,15:50-16:00,true,false,false
H-START,96,16:00,960,970,16:00-16:10,true,false,false
H-END,97,16:10,960,970,16:00-16:10,true,false,false
H-START,97,16:10,970,980,16:10-16:20,true,false,false
H-END,98,16:20,970,980,16:10-16:20,true,false,false
H-START,98,16:20,980,990,16:20-16:30,true,false,false
H-END,99,16:30,980,990,16:20-16:30,true,false,false
H-START,99,16:30,990,1000,16:30-16:40,true,false,false
H-END,100,16:40,990,1000,16:30-16:40,true,false,false
H-START,100,16:40,1000,1010,16:40-16:50,true,false,false
H-END,101,16:50,1000,1010,16:40-16:50,true,false,false
H-START,101,16:50,1010,1020,16:50-17:00,true,false,false
H-END,102,17:00,1010,1020,16:50-17:00,true,false,false
H-START,102,17:00,1020,1030,17:00-17:10,true,false,false
H-END,103,17:10,1020,1030,17:00-17:10,true,false,false
H-START,103,17:10,1030,1040,17:10-17:20,true,false,false
H-END,104,17:20,1030,1040,17:10-17:20,true,false,false
H-START,104,17:20,1040,1050,17:20-17:30,true,false,false
H-END,105,17:30,1040,1050,17:20-17:30,true,false,false
H-START,105,17:30,1050,1060,17:30-17:40,true,false,false
H-END,106,17:40,1050,1060,17:30-17:40,true,false,false
H-START,106,17:40,1060,1070,17:40-17:50,true,false,false
H-END,107,17:50,1060,1070,17:40-17:50,true,false,false
H-START,107,17:50,1070,1080,17:50-18:00,true,false,false
H-END,108,18:00,1070,1080,17:50-18:00,true,false,false
H-START,108,18:00,1080,1090,18:00-18:10,true,false,false
H-END,109,18:10,1080,1090,18:00-18:10,true,false,false
H-START,109,18:10,1090,1100,18:10-18:20,true,false,false
H-END,110,18:20,1090,1100,18:10-18:20,true,false,false
H-START,110,18:20,1100,1110,18:20-18:30,true,false,false
H-END,111,18:30,1100,1110,18:20-18:30,true,false,false
H-START,111,18:30,1110,1120,18:30-18:40,true,false,false
H-END,112,18:40,1110,1120,18:30-18:40,true,false,false
H-START,112,18:40,1120,1130,18:40-18:50,true,false,false
H-END,113,18:50,1120,1130,18:40-18:50,true,false,false
H-START,113,18:50,1130,1140,18:50-19:00,true,false,false
H-END,114,19:00,1130,1140,18:50-19:00,true,false,false
H-START,114,19:00,1140,1150,19:00-19:10,true,false,false
H-END,115,19:10,1140,1150,19:00-19:10,true,false,false
H-START,115,19:10,1150,1160,19:10-19:20,true,false,false
H-END,116,19:20,1150,1160,19:10-19:20,true,false,false
H-START,116,19:20,1160,1170,19:20-19:30,true,false,false
H-END,117,19:30,1160,1170,19:20-19:30,true,false,false
H-START,117,19:30,1170,1180,19:30-19:40,true,false,false
H-END,118,19:40,1170,1180,19:30-19:40,true,false,false
H-START,118,19:40,1180,1190,19:40-19:50,true,false,false
H-END,119,19:50,1180,1190,19:40-19:50,true,false,false
H-START,119,19:50,1190,1200,19:50-20:00,true,false,false
H-END,120,20:00,1190,1200,19:50-20:00,true,false,false
H-START,120,20:00,1200,1210,20:00-20:10,true,false,false
H-END,121,20:10,1200,1210,20:00-20:10,true,false,false
H-START,121,20:10,1210,1220,20:10-20:20,true,false,false
H-END,122,20:20,1210,1220,20:10-20:20,true,false,false
H-START,122,20:20,1220,1230,20:20-20:30,true,false,false
H-END,123,20:30,1220,1230,20:20-20:30,true,false,false
H-START,123,20:30,1230,1240,20:30-20:40,true,false,false
H-END,124,20:40,1230,1240,20:30-20:40,true,false,false
H-START,124,20:40,1240,1250,20:40-20:50,true,false,false
H-END,125,20:50,1240,1250,20:40-20:50,true,false,false
H-START,125,20:50,1250,1260,20:50-21:00,true,false,false
H-END,126,21:00,1250,1260,20:50-21:00,true,false,false
H-START,126,21:00,1260,1270,21:00-21:10,true,false,false
H-END,127,21:10,1260,1270,21:00-21:10,true,false,false
H-START,127,21:10,1270,1280,21:10-21:20,true,false,false
H-END,128,21:20,1270,1280,21:10-21:20,true,false,false
H-START,128,21:20,1280,1290,21:20-21:30,true,false,false
H-END,129,21:30,1280,1290,21:20-21:30,true,false,false
H-START,129,21:30,1290,1300,21:30-21:40,true,false,false
H-END,130,21:40,1290,1300,21:30-21:40,true,false,false
H-START,130,21:40,1300,1310,21:40-21:50,true,false,false
H-END,131,21:50,1300,1310,21:40-21:50,true,false,false
H-START,131,21:50,1310,1320,21:50-22:00,true,false,false
H-END,132,22:00,1310,1320,21:50-22:00,true,false,false
H-START,132,22:00,1320,1330,22:00-22:10,true,false,false
H-END,133,22:10,1320,1330,22:00-22:10,true,false,false
H-START,133,22:10,1330,1340,22:10-22:20,true,false,false
H-END,134,22:20,1330,1340,22:10-22:20,true,false,false
H-START,134,22:20,1340,1350,22:20-22:30,true,false,false
H-END,135,22:30,1340,1350,22:20-22:30,true,false,false
H-START,135,22:30,1350,1360,22:30-22:40,true,false,false
H-END,136,22:40,1350,1360,22:30-22:40,true,false,false
H-START,136,22:40,1360,1370,22:40-22:50,true,false,false
H-END,137,22:50,1360,1370,22:40-22:50,true,false,false
H-START,137,22:50,1370,1380,22:50-23:00,true,false,false
H-END,138,23:00,1370,1380,22:50-23:00,true,false,false
H-START,138,23:00,1380,1390,23:00-23:10,true,false,false
H-END,139,23:10,1380,1390,23:00-23:10,true,false,false
H-START,139,23:10,1390,1400,23:10-23:20,true,false,false
H-END,140,23:20,1390,1400,23:10-23:20,true,false,false
H-START,140,23:20,1400,1410,23:20-23:30,true,false,false
H-END,141,23:30,1400,1410,23:20-23:30,true,false,false
H-START,141,23:30,1410,1420,23:30-23:40,true,false,false
H-END,142,23:40,1410,1420,23:30-23:40,true,false,false
H-START,142,23:40,1420,1430,23:40-23:50,true,false,false
H-END,143,23:50,1420,1430,23:40-23:50,true,false,false
H-START,143,23:50,1430,1440,23:50-0:00+1,true,false,false
H-END,144,0:00+1,1430,1440,23:50-0:00+1,true,false,false
H-START,144,0:00+1,1440,1450,0:00+1-0:10+1,false,false,false
