slot_id,source_marker,h_end_label,h_start_label,result1_label,result1_matches_h_end,result1_matches_h_start,result2_label,result3_label,result4_2_label,result4_3_label,result2_matches_h_start,result3_matches_h_start,result4_2_matches_h_start,result4_3_matches_h_start
13,2:10,2:00-2:10,2:10-2:20,2:10-2:20,false,true,2:10-2:20,2:10-2:20,2:10-2:20,2:10-2:20,true,true,true,true
14,2:20,2:10-2:20,2:20-2:30,2:20-2:30,false,true,2:20-2:30,2:20-2:30,2:20-2:30,2:20-2:30,true,true,true,true
15,2:30,2:20-2:30,2:30-2:40,2:30-2:40,false,true,2:30-2:40,2:30-2:40,2:30-2:40,2:30-2:40,true,true,true,true
16,2:40,2:30-2:40,2:40-2:50,2:40-2:50,false,true,2:40-2:50,2:40-2:50,2:40-2:50,2:40-2:50,true,true,true,true
17,2:50,2:40-2:50,2:50-3:00,2:50-3:00,false,true,2:50-3:00,2:50-3:00,2:50-3:00,2:50-3:00,true,true,true,true
18,3:00,2:50-3:00,3:00-3:10,3:00-3:10,false,true,3:00-3:10,3:00-3:10,3:00-3:10,3:00-3:10,true,true,true,true
19,3:10,3:00-3:10,3:10-3:20,3:10-3:20,false,true,3:10-3:20,3:10-3:20,3:10-3:20,3:10-3:20,true,true,true,true
20,3:20,3:10-3:20,3:20-3:30,3:20-3:30,false,true,3:20-3:30,3:20-3:30,3:20-3:30,3:20-3:30,true,true,true,true
21,3:30,3:20-3:30,3:30-3:40,3:30-3:40,false,true,3:30-3:40,3:30-3:40,3:30-3:40,3:30-3:40,true,true,true,true
22,3:40,3:30-3:40,3:40-3:50,3:40-3:50,false,true,3:40-3:50,3:40-3:50,3:40-3:50,3:40-3:50,true,true,true,true
23,3:50,3:40-3:50,3:50-4:00,3:50-4:00,false,true,3:50-4:00,3:50-4:00,3:50-4:00,3:50-4:00,true,true,true,true
24,4:00,3:50-4:00,4:00-4:10,4:00-4:10,false,true,4:00-4:10,4:00-4:10,4:00-4:10,4:00-4:10,true,true,true,true
25,4:10,4:00-4:10,4:10-4:20,4:10-4:20,false,true,4:10-4:20,4:10-4:20,4:10-4:20,4:10-4:20,true,true,true,true
26,4:20,4:10-4:20,4:20-4:30,4:20-4:30,false,true,4:20-4:30,4:20-4:30,4:20-4:30,4:20-4:30,true,true,true,true
27,4:30,4:20-4:30,4:30-4:40,4:30-4:40,false,true,4:30-4:40,4:30-4:40,4:30-4:40,4:30-4:40,true,true,true,true
28,4:40,4:30-4:40,4:40-4:50,4:40-4:50,false,true,4:40-4:50,4:40-4:50,4:40-4:50,4:40-4:50,true,true,true,true
29,4:50,4:40-4:50,4:50-5:00,4:50-5:00,false,true,4:50-5:00,4:50-5:00,4:50-5:00,4:50-5:00,true,true,true,true
30,5:00,4:50-5:00,5:00-5:10,5:00-5:10,false,true,5:00-5:10,5:00-5:10,5:00-5:10,5:00-5:10,true,true,true,true
31,5:10,5:00-5:10,5:10-5:20,5:10-5:20,false,true,5:10-5:20,5:10-5:20,5:10-5:20,5:10-5:20,true,true,true,true
32,5:20,5:10-5:20,5:20-5:30,5:20-5:30,false,true,5:20-5:30,5:20-5:30,5:20-5:30,5:20-5:30,true,true,true,true
33,5:30,5:20-5:30,5:30-5:40,5:30-5:40,false,true,5:30-5:40,5:30-5:40,5:30-5:40,5:30-5:40,true,true,true,true
34,5:40,5:30-5:40,5:40-5:50,5:40-5:50,false,true,5:40-5:50,5:40-5:50,5:40-5:50,5:40-5:50,true,true,true,true
35,5:50,5:40-5:50,5:50-6:00,5:50-6:00,false,true,5:50-6:00,5:50-6:00,5:50-6:00,5:50-6:00,true,true,true,true
36,6:00,5:50-6:00,6:00-6:10,6:00-6:10,false,true,6:00-6:10,6:00-6:10,6:00-6:10,6:00-6:10,true,true,true,true
37,6:10,6:00-6:10,6:10-6:20,6:10-6:20,false,true,6:10-6:20,6:10-6:20,6:10-6:20,6:10-6:20,true,true,true,true
38,6:20,6:10-6:20,6:20-6:30,6:20-6:30,false,true,6:20-6:30,6:20-6:30,6:20-6:30,6:20-6:30,true,true,true,true
39,6:30,6:20-6:30,6:30-6:40,6:30-6:40,false,true,6:30-6:40,6:30-6:40,6:30-6:40,6:30-6:40,true,true,true,true
40,6:40,6:30-6:40,6:40-6:50,6:40-6:50,false,true,6:40-6:50,6:40-6:50,6:40-6:50,6:40-6:50,true,true,true,true
41,6:50,6:40-6:50,6:50-7:00,6:50-7:00,false,true,6:50-7:00,6:50-7:00,6:50-7:00,6:50-7:00,true,true,true,true
42,7:00,6:50-7:00,7:00-7:10,7:00-7:10,false,true,7:0-7:10,7:0-7:10,7:0-7:10,7:0-7:10,false,false,false,false
43,7:10,7:00-7:10,7:10-7:20,7:10-7:20,false,true,7:10-7:20,7:10-7:20,7:10-7:20,7:10-7:20,true,true,true,true
44,7:20,7:10-7:20,7:20-7:30,7:20-7:30,false,true,7:20-7:30,7:20-7:30,7:20-7:30,7:20-7:30,true,true,true,true
45,7:30,7:20-7:30,7:30-7:40,7:30-7:40,false,true,7:30-7:40,7:30-7:40,7:30-7:40,7:30-7:40,true,true,true,true
46,7:40,7:30-7:40,7:40-7:50,7:40-7:50,false,true,7:40-7:50,7:40-7:50,7:40-7:50,7:40-7:50,true,true,true,true
47,7:50,7:40-7:50,7:50-8:00,7:50-8:00,false,true,7:50-8:00,7:50-8:00,7:50-8:00,7:50-8:00,true,true,true,true
48,8:00,7:50-8:00,8:00-8:10,8:00-8:10,false,true,8:00-8:10,8:00-8:10,8:00-8:10,8:00-8:10,true,true,true,true
49,8:10,8:00-8:10,8:10-8:20,8:10-8:20,false,true,8:10-8:20,8:10-8:20,8:10-8:20,8:10-8:20,true,true,true,true
50,8:20,8:10-8:20,8:20-8:30,8:20-8:30,false,true,8:20-8:30,8:20-8:30,8:20-8:30,8:20-8:30,true,true,true,true
51,8:30,8:20-8:30,8:30-8:40,8:30-8:40,false,true,8:30-8:40,8:30-8:40,8:30-8:40,8:30-8:40,true,true,true,true
52,8:40,8:30-8:40,8:40-8:50,8:40-8:50,false,true,8:40-8:50,8:40-8:50,8:40-8:50,8:40-8:50,true,true,true,true
53,8:50,8:40-8:50,8:50-9:00,8:50-9:00,false,true,8:50-9:00,8:50-9:00,8:50-9:00,8:50-9:00,true,true,true,true
54,9:00,8:50-9:00,9:00-9:10,9:00-9:10,false,true,9:00-9:10,9:00-9:10,9:00-9:10,9:00-9:10,true,true,true,true
55,9:10,9:00-9:10,9:10-9:20,9:10-9:20,false,true,9:10-9:20,9:10-9:20,9:10-9:20,9:10-9:20,true,true,true,true
56,9:20,9:10-9:20,9:20-9:30,9:20-9:30,false,true,9:20-9:30,9:20-9:30,9:20-9:30,9:20-9:30,true,true,true,true
57,9:30,9:20-9:30,9:30-9:40,9:30-9:40,false,true,9:30-9:40,9:30-9:40,9:30-9:40,9:30-9:40,true,true,true,true
58,9:40,9:30-9:40,9:40-9:50,9:40-9:50,false,true,9:40-9:50,9:40-9:50,9:40-9:50,9:40-9:50,true,true,true,true
59,9:50,9:40-9:50,9:50-10:00,9:50-10:00,false,true,9:50-10:00,9:50-10:00,9:50-10:00,9:50-10:00,true,true,true,true
60,10:00,9:50-10:00,10:00-10:10,10:00-10:10,false,true,10:00-10:10,10:00-10:10,10:00-10:10,10:00-10:10,true,true,true,true
61,10:10,10:00-10:10,10:10-10:20,10:10-10:20,false,true,10:10-10:20,10:10-10:20,10:10-10:20,10:10-10:20,true,true,true,true
62,10:20,10:10-10:20,10:20-10:30,10:20-10:30,false,true,10:20-10:30,10:20-10:30,10:20-10:30,10:20-10:30,true,true,true,true
63,10:30,10:20-10:30,10:30-10:40,10:30-10:40,false,true,10:30-10:40,10:30-10:40,10:30-10:40,10:30-10:40,true,true,true,true
64,10:40,10:30-10:40,10:40-10:50,10:40-10:50,false,true,10:40-10:50,10:40-10:50,10:40-10:50,10:40-10:50,true,true,true,true
65,10:50,10:40-10:50,10:50-11:00,10:50-11:00,false,true,10:50-11:00,10:50-11:00,10:50-11:00,10:50-11:00,true,true,true,true
66,11:00,10:50-11:00,11:00-11:10,11:00-11:10,false,true,11:00-11:10,11:00-11:10,11:00-11:10,11:00-11:10,true,true,true,true
67,11:10,11:00-11:10,11:10-11:20,11:10-11:20,false,true,11:10-11:20,11:10-11:20,11:10-11:20,11:10-11:20,true,true,true,true
68,11:20,11:10-11:20,11:20-11:30,11:20-11:30,false,true,11:20-11:30,11:20-11:30,11:20-11:30,11:20-11:30,true,true,true,true
69,11:30,11:20-11:30,11:30-11:40,11:30-11:40,false,true,11:30-11:40,11:30-11:40,11:30-11:40,11:30-11:40,true,true,true,true
70,11:40,11:30-11:40,11:40-11:50,11:40-11:50,false,true,11:40-11:50,11:40-11:50,11:40-11:50,11:40-11:50,true,true,true,true
71,11:50,11:40-11:50,11:50-12:00,11:50-12:00,false,true,11:50-12:00,11:50-12:00,11:50-12:00,11:50-12:00,true,true,true,true
72,12:00,11:50-12:00,12:00-12:10,12:00-12:10,false,true,12:00-12:10,12:00-12:10,12:00-12:10,12:00-12:10,true,true,true,true
73,12:10,12:00-12:10,12:10-12:20,12:10-12:20,false,true,12:10-12:20,12:10-12:20,12:10-12:20,12:10-12:20,true,true,true,true
74,12:20,12:10-12:20,12:20-12:30,12:20-12:30,false,true,12:20-12:30,12:20-12:30,12:20-12:30,12:20-12:30,true,true,true,true
75,12:30,12:20-12:30,12:30-12:40,12:30-12:40,false,true,12:30-12:40,12:30-12:40,12:30-12:40,12:30-12:40,true,true,true,true
76,12:40,12:30-12:40,12:40-12:50,12:40-12:50,false,true,12:40-12:50,12:40-12:50,12:40-12:50,12:40-12:50,true,true,true,true
77,12:50,12:40-12:50,12:50-13:00,12:50-13:00,false,true,12:50-13:00,12:50-13:00,12:50-13:00,12:50-13:00,true,true,true,true
78,13:00,12:50-13:00,13:00-13:10,13:00-13:10,false,true,13:00-13:10,13:00-13:10,13:00-13:10,13:00-13:10,true,true,true,true
79,13:10,13:00-13:10,13:10-13:20,13:10-13:20,false,true,13:10-13:20,13:10-13:20,13:10-13:20,13:10-13:20,true,true,true,true
80,13:20,13:10-13:20,13:20-13:30,13:20-13:30,false,true,13:20-13:30,13:20-13:30,13:20-13:30,13:20-13:30,true,true,true,true
81,13:30,13:20-13:30,13:30-13:40,13:30-13:40,false,true,13:30-13:40,13:30-13:40,13:30-13:40,13:30-13:40,true,true,true,true
82,13:40,13:30-13:40,13:40-13:50,13:40-13:50,false,true,13:40-13:50,13:40-13:50,13:40-13:50,13:40-13:50,true,true,true,true
83,13:50,13:40-13:50,13:50-14:00,13:50-14:00,false,true,13:50-14:00,13:50-14:00,13:50-14:00,13:50-14:00,true,true,true,true
84,14:00,13:50-14:00,14:00-14:10,14:00-14:10,false,true,14:00-14:10,14:00-14:10,14:00-14:10,14:00-14:10,true,true,true,true
85,14:10,14:00-14:10,14:10-14:20,14:10-14:20,false,true,14:10-14:20,14:10-14:20,14:10-14:20,14:10-14:20,true,true,true,true
86,14:20,14:10-14:20,14:20-14:30,14:20-14:30,false,true,14:20-14:30,14:20-14:30,14:20-14:30,14:20-14:30,true,true,true,true
87,14:30,14:20-14:30,14:30-14:40,14:30-14:40,false,true,14:30-14:40,14:30-14:40,14:30-14:40,14:30-14:40,true,true,true,true
88,14:40,14:30-14:40,14:40-14:50,14:40-14:50,false,true,14:40-14:50,14:40-14:50,14:40-14:50,14:40-14:50,true,true,true,true
89,14:50,14:40-14:50,14:50-15:00,14:50-15:00,false,true,14:50-15:00,14:50-15:00,14:50-15:00,14:50-15:00,true,true,true,true
90,15:00,14:50-15:00,15:00-15:10,15:00-15:10,false,true,15:00-15:10,15:00-15:10,15:00-15:10,15:00-15:10,true,true,true,true
91,15:10,15:00-15:10,15:10-15:20,15:10-15:20,false,true,15:10-15:20,15:10-15:20,15:10-15:20,15:10-15:20,true,true,true,true
92,15:20,15:10-15:20,15:20-15:30,15:20-15:30,false,true,15:20-15:30,15:20-15:30,15:20-15:30,15:20-15:30,true,true,true,true
93,15:30,15:20-15:30,15:30-15:40,15:30-15:40,false,true,15:30-15:40,15:30-15:40,15:30-15:40,15:30-15:40,true,true,true,true
94,15:40,15:30-15:40,15:40-15:50,15:40-15:50,false,true,15:40-15:50,15:40-15:50,15:40-15:50,15:40-15:50,true,true,true,true
95,15:50,15:40-15:50,15:50-16:00,15:50-16:00,false,true,15:50-16:00,15:50-16:00,15:50-16:00,15:50-16:00,true,true,true,true
96,16:00,15:50-16:00,16:00-16:10,16:00-16:10,false,true,16:00-16:10,16:00-16:10,16:00-16:10,16:00-16:10,true,true,true,true
97,16:10,16:00-16:10,16:10-16:20,16:10-16:20,false,true,16:10-16:20,16:10-16:20,16:10-16:20,16:10-16:20,true,true,true,true
98,16:20,16:10-16:20,16:20-16:30,16:20-16:30,false,true,16:20-16:30,16:20-16:30,16:20-16:30,16:20-16:30,true,true,true,true
99,16:30,16:20-16:30,16:30-16:40,16:30-16:40,false,true,16:30-16:40,16:30-16:40,16:30-16:40,16:30-16:40,true,true,true,true
100,16:40,16:30-16:40,16:40-16:50,16:40-16:50,false,true,16:40-16:50,16:40-16:50,16:40-16:50,16:40-16:50,true,true,true,true
101,16:50,16:40-16:50,16:50-17:00,16:50-17:00,false,true,16:50-17:00,16:50-17:00,16:50-17:00,16:50-17:00,true,true,true,true
102,17:00,16:50-17:00,17:00-17:10,17:00-17:10,false,true,17:00-17:10,17:00-17:10,17:00-17:10,17:00-17:10,true,true,true,true
103,17:10,17:00-17:10,17:10-17:20,17:10-17:20,false,true,17:10-17:20,17:10-17:20,17:10-17:20,17:10-17:20,true,true,true,true
104,17:20,17:10-17:20,17:20-17:30,17:20-17:30,false,true,17:20-17:30,17:20-17:30,17:20-17:30,17:20-17:30,true,true,true,true
105,17:30,17:20-17:30,17:30-17:40,17:30-17:40,false,true,17:30-17:40,17:30-17:40,17:30-17:40,17:30-17:40,true,true,true,true
106,17:40,17:30-17:40,17:40-17:50,17:40-17:50,false,true,17:40-17:50,17:40-17:50,17:40-17:50,17:40-17:50,true,true,true,true
107,17:50,17:40-17:50,17:50-18:00,17:50-18:00,false,true,17:50-18:00,17:50-18:00,17:50-18:00,17:50-18:00,true,true,true,true
108,18:00,17:50-18:00,18:00-18:10,18:00-18:10,false,true,18:00-18:10,18:00-18:10,18:00-18:10,18:00-18:10,true,true,true,true
109,18:10,18:00-18:10,18:10-18:20,18:10-18:20,false,true,18:10-18:20,18:10-18:20,18:10-18:20,18:10-18:20,true,true,true,true
110,18:20,18:10-18:20,18:20-18:30,18:20-18:30,false,true,18:20-18:30,18:20-18:30,18:20-18:30,18:20-18:30,true,true,true,true
111,18:30,18:20-18:30,18:30-18:40,18:30-18:40,false,true,18:30-18:40,18:30-18:40,18:30-18:40,18:30-18:40,true,true,true,true
112,18:40,18:30-18:40,18:40-18:50,18:40-18:50,false,true,18:40-18:50,18:40-18:50,18:40-18:50,18:40-18:50,true,true,true,true
113,18:50,18:40-18:50,18:50-19:00,18:50-19:00,false,true,18:50-19:00,18:50-19:00,18:50-19:00,18:50-19:00,true,true,true,true
114,19:00,18:50-19:00,19:00-19:10,19:00-19:10,false,true,19:00-19:10,19:00-19:10,19:00-19:10,19:00-19:10,true,true,true,true
115,19:10,19:00-19:10,19:10-19:20,19:10-19:20,false,true,19:10-19:20,19:10-19:20,19:10-19:20,19:10-19:20,true,true,true,true
116,19:20,19:10-19:20,19:20-19:30,19:20-19:30,false,true,19:20-19:30,19:20-19:30,19:20-19:30,19:20-19:30,true,true,true,true
117,19:30,19:20-19:30,19:30-19:40,19:30-19:40,false,true,19:30-19:40,19:30-19:40,19:30-19:40,19:30-19:40,true,true,true,true
118,19:40,19:30-19:40,19:40-19:50,19:40-19:50,false,true,19:40-19:50,19:40-19:50,19:40-19:50,19:40-19:50,true,true,true,true
119,19:50,19:40-19:50,19:50-20:00,19:50-20:00,false,true,19:50-20:00,19:50-20:00,19:50-20:00,19:50-20:00,true,true,true,true
120,20:00,19:50-20:00,20:00-20:10,20:00-20:10,false,true,20:00-20:10,20:00-20:10,20:00-20:10,20:00-20:10,true,true,true,true
121,20:10,20:00-20:10,20:10-20:20,20:10-20:20,false,true,20:10-20:20,20:10-20:20,20:10-20:20,20:10-20:20,true,true,true,true
122,20:20,20:10-20:20,20:20-20:30,20:20-20:30,false,true,20:20-20:30,20:20-20:30,20:20-20:30,20:20-20:30,true,true,true,true
123,20:30,20:20-20:30,20:30-20:40,20:30-20:40,false,true,20:30-20:40,20:30-20:40,20:30-20:40,20:30-20:40,true,true,true,true
124,20:40,20:30-20:40,20:40-20:50,20:40-20:50,false,true,20:40-20:50,20:40-20:50,20:40-20:50,20:40-20:50,true,true,true,true
125,20:50,20:40-20:50,20:50-21:00,20:50-21:00,false,true,20:50-21:00,20:50-21:00,20:50-21:00,20:50-21:00,true,true,true,true
126,21:00,20:50-21:00,21:00-21:10,21:00-21:10,false,true,21:00-21:10,21:00-21:10,21:00-21:10,21:00-21:10,true,true,true,true
127,21:10,21:00-21:10,21:10-21:20,21:10-21:20,false,true,21:10-21:20,21:10-21:20,21:10-21:20,21:10-21:20,true,true,true,true
128,21:20,21:10-21:20,21:20-21:30,21:20-21:30,false,true,21:20-21:30,21:20-21:30,21:20-21:30,21:20-21:30,true,true,true,true
129,21:30,21:20-21:30,21:30-21:40,21:30-21:40,false,true,21:30-21:40,21:30-21:40,21:30-21:40,21:30-21:40,true,true,true,true
130,21:40,21:30-21:40,21:40-21:50,21:40-21:50,false,true,21:40-21:50,21:40-21:50,21:40-21:50,21:40-21:50,true,true,true,true
131,21:50,21:40-21:50,21:50-22:00,21:50-22:00,false,true,21:50-22:00,21:50-22:00,21:50-22:00,21:50-22:00,true,true,true,true
132,22:00,21:50-22:00,22:00-22:10,22:00-22:10,false,true,22:00-22:10,22:00-22:10,22:00-22:10,22:00-22:10,true,true,true,true
133,22:10,22:00-22:10,22:10-22:20,22:10-22:20,false,true,22:10-22:20,22:10-22:20,22:10-22:20,22:10-22:20,true,true,true,true
134,22:20,22:10-22:20,22:20-22:30,22:20-22:30,false,true,22:20-22:30,22:20-22:30,22:20-22:30,22:20-22:30,true,true,true,true
135,22:30,22:20-22:30,22:30-22:40,22:30-22:40,false,true,22:30-22:40,22:30-22:40,22:30-22:40,22:30-22:40,true,true,true,true
136,22:40,22:30-22:40,22:40-22:50,22:40-22:50,false,true,22:40-22:50,22:40-22:50,22:40-22:50,22:40-22:50,true,true,true,true
137,22:50,22:40-22:50,22:50-23:00,22:50-23:00,false,true,22:50-23:00,22:50-23:00,22:50-23:00,22:50-23:00,true,true,true,true
138,23:00,22:50-23:00,23:00-23:10,23:00-23:10,false,true,23:00-23:10,23:00-23:10,23:00-23:10,23:00-23:10,true,true,true,true
139,23:10,23:00-23:10,23:10-23:20,23:10-23:20,false,true,23:10-23:20,23:10-23:20,23:10-23:20,23:10-23:20,true,true,true,true
140,23:20,23:10-23:20,23:20-23:30,23:20-23:30,false,true,23:20-23:30,23:20-23:30,23:20-23:30,23:20-23:30,true,true,true,true
141,23:30,23:20-23:30,23:30-23:40,23:30-23:40,false,true,23:30-23:40,23:30-23:40,23:30-23:40,23:30-23:40,true,true,true,true
142,23:40,23:30-23:40,23:40-23:50,23:40-23:50,false,true,23:40-23:50,23:40-23:50,23:40-23:50,23:40-23:50,true,true,true,true
143,23:50,23:40-23:50,23:50-0:00+1,23:50-0:00+1,false,true,23:50-0:00+1,23:50-0:00+1,23:50-0:00+1,23:50-0:00+1,true,true,true,true
144,0:00+1,23:50-0:00+1,0:00+1-0:10+1,0:00+1-0:10+1,false,true,0:00-0:10+1,0:00-0:10+1,0:00-0:10+1,0:00-0:10+1,false,false,false,false
