issue_hour,forecast_slot,delivery_day_offset,delivery_slot_id,physical_start,physical_end,left_forecast_node_hour,right_forecast_node_hour,right_node_weight_for_interval_average,energy_multiplier_hours,left_node_source,is_current_day_contract
0,52,0,52,8:30,8:40,8,9,7/12,1/6,同一发行的小时预报,True
0,53,0,53,8:40,8:50,8,9,3/4,1/6,同一发行的小时预报,True
0,54,0,54,8:50,9:00,8,9,11/12,1/6,同一发行的小时预报,True
0,55,0,55,9:00,9:10,9,10,1/12,1/6,同一发行的小时预报,True
0,56,0,56,9:10,9:20,9,10,1/4,1/6,同一发行的小时预报,True
0,57,0,57,9:20,9:30,9,10,5/12,1/6,同一发行的小时预报,True
0,58,0,58,9:30,9:40,9,10,7/12,1/6,同一发行的小时预报,True
0,59,0,59,9:40,9:50,9,10,3/4,1/6,同一发行的小时预报,True
0,60,0,60,9:50,10:00,9,10,11/12,1/6,同一发行的小时预报,True
0,61,0,61,10:00,10:10,10,11,1/12,1/6,同一发行的小时预报,True
0,62,0,62,10:10,10:20,10,11,1/4,1/6,同一发行的小时预报,True
0,63,0,63,10:20,10:30,10,11,5/12,1/6,同一发行的小时预报,True
0,64,0,64,10:30,10:40,10,11,7/12,1/6,同一发行的小时预报,True
0,65,0,65,10:40,10:50,10,11,3/4,1/6,同一发行的小时预报,True
0,66,0,66,10:50,11:00,10,11,11/12,1/6,同一发行的小时预报,True
0,67,0,67,11:00,11:10,11,12,1/12,1/6,同一发行的小时预报,True
0,68,0,68,11:10,11:20,11,12,1/4,1/6,同一发行的小时预报,True
0,69,0,69,11:20,11:30,11,12,5/12,1/6,同一发行的小时预报,True
0,70,0,70,11:30,11:40,11,12,7/12,1/6,同一发行的小时预报,True
0,71,0,71,11:40,11:50,11,12,3/4,1/6,同一发行的小时预报,True
0,72,0,72,11:50,12:00,11,12,11/12,1/6,同一发行的小时预报,True
0,73,0,73,12:00,12:10,12,13,1/12,1/6,同一发行的小时预报,True
0,74,0,74,12:10,12:20,12,13,1/4,1/6,同一发行的小时预报,True
0,75,0,75,12:20,12:30,12,13,5/12,1/6,同一发行的小时预报,True
0,76,0,76,12:30,12:40,12,13,7/12,1/6,同一发行的小时预报,True
0,77,0,77,12:40,12:50,12,13,3/4,1/6,同一发行的小时预报,True
0,78,0,78,12:50,13:00,12,13,11/12,1/6,同一发行的小时预报,True
0,79,0,79,13:00,13:10,13,14,1/12,1/6,同一发行的小时预报,True
0,80,0,80,13:10,13:20,13,14,1/4,1/6,同一发行的小时预报,True
0,81,0,81,13:20,13:30,13,14,5/12,1/6,同一发行的小时预报,True
0,82,0,82,13:30,13:40,13,14,7/12,1/6,同一发行的小时预报,True
0,83,0,83,13:40,13:50,13,14,3/4,1/6,同一发行的小时预报,True
0,84,0,84,13:50,14:00,13,14,11/12,1/6,同一发行的小时预报,True
0,85,0,85,14:00,14:10,14,15,1/12,1/6,同一发行的小时预报,True
0,86,0,86,14:10,14:20,14,15,1/4,1/6,同一发行的小时预报,True
0,87,0,87,14:20,14:30,14,15,5/12,1/6,同一发行的小时预报,True
0,88,0,88,14:30,14:40,14,15,7/12,1/6,同一发行的小时预报,True
0,89,0,89,14:40,14:50,14,15,3/4,1/6,同一发行的小时预报,True
0,90,0,90,14:50,15:00,14,15,11/12,1/6,同一发行的小时预报,True
0,91,0,91,15:00,15:10,15,16,1/12,1/6,同一发行的小时预报,True
0,92,0,92,15:10,15:20,15,16,1/4,1/6,同一发行的小时预报,True
0,93,0,93,15:20,15:30,15,16,5/12,1/6,同一发行的小时预报,True
0,94,0,94,15:30,15:40,15,16,7/12,1/6,同一发行的小时预报,True
0,95,0,95,15:40,15:50,15,16,3/4,1/6,同一发行的小时预报,True
0,96,0,96,15:50,16:00,15,16,11/12,1/6,同一发行的小时预报,True
0,97,0,97,16:00,16:10,16,17,1/12,1/6,同一发行的小时预报,True
0,98,0,98,16:10,16:20,16,17,1/4,1/6,同一发行的小时预报,True
0,99,0,99,16:20,16:30,16,17,5/12,1/6,同一发行的小时预报,True
0,100,0,100,16:30,16:40,16,17,7/12,1/6,同一发行的小时预报,True
0,101,0,101,16:40,16:50,16,17,3/4,1/6,同一发行的小时预报,True
0,102,0,102,16:50,17:00,16,17,11/12,1/6,同一发行的小时预报,True
0,103,0,103,17:00,17:10,17,18,1/12,1/6,同一发行的小时预报,True
0,104,0,104,17:10,17:20,17,18,1/4,1/6,同一发行的小时预报,True
0,105,0,105,17:20,17:30,17,18,5/12,1/6,同一发行的小时预报,True
0,106,0,106,17:30,17:40,17,18,7/12,1/6,同一发行的小时预报,True
0,107,0,107,17:40,17:50,17,18,3/4,1/6,同一发行的小时预报,True
0,108,0,108,17:50,18:00,17,18,11/12,1/6,同一发行的小时预报,True
0,109,0,109,18:00,18:10,18,19,1/12,1/6,同一发行的小时预报,True
0,110,0,110,18:10,18:20,18,19,1/4,1/6,同一发行的小时预报,True
0,111,0,111,18:20,18:30,18,19,5/12,1/6,同一发行的小时预报,True
0,112,0,112,18:30,18:40,18,19,7/12,1/6,同一发行的小时预报,True
0,113,0,113,18:40,18:50,18,19,3/4,1/6,同一发行的小时预报,True
0,114,0,114,18:50,19:00,18,19,11/12,1/6,同一发行的小时预报,True
0,115,0,115,19:00,19:10,19,20,1/12,1/6,同一发行的小时预报,True
0,116,0,116,19:10,19:20,19,20,1/4,1/6,同一发行的小时预报,True
0,117,0,117,19:20,19:30,19,20,5/12,1/6,同一发行的小时预报,True
0,118,0,118,19:30,19:40,19,20,7/12,1/6,同一发行的小时预报,True
0,119,0,119,19:40,19:50,19,20,3/4,1/6,同一发行的小时预报,True
0,120,0,120,19:50,20:00,19,20,11/12,1/6,同一发行的小时预报,True
0,121,0,121,20:00,20:10,20,21,1/12,1/6,同一发行的小时预报,True
0,122,0,122,20:10,20:20,20,21,1/4,1/6,同一发行的小时预报,True
0,123,0,123,20:20,20:30,20,21,5/12,1/6,同一发行的小时预报,True
0,124,0,124,20:30,20:40,20,21,7/12,1/6,同一发行的小时预报,True
0,125,0,125,20:40,20:50,20,21,3/4,1/6,同一发行的小时预报,True
0,126,0,126,20:50,21:00,20,21,11/12,1/6,同一发行的小时预报,True
0,127,0,127,21:00,21:10,21,22,1/12,1/6,同一发行的小时预报,True
0,128,0,128,21:10,21:20,21,22,1/4,1/6,同一发行的小时预报,True
0,129,0,129,21:20,21:30,21,22,5/12,1/6,同一发行的小时预报,True
0,130,0,130,21:30,21:40,21,22,7/12,1/6,同一发行的小时预报,True
0,131,0,131,21:40,21:50,21,22,3/4,1/6,同一发行的小时预报,True
0,132,0,132,21:50,22:00,21,22,11/12,1/6,同一发行的小时预报,True
0,133,0,133,22:00,22:10,22,23,1/12,1/6,同一发行的小时预报,True
0,134,0,134,22:10,22:20,22,23,1/4,1/6,同一发行的小时预报,True
0,135,0,135,22:20,22:30,22,23,5/12,1/6,同一发行的小时预报,True
0,136,0,136,22:30,22:40,22,23,7/12,1/6,同一发行的小时预报,True
0,137,0,137,22:40,22:50,22,23,3/4,1/6,同一发行的小时预报,True
0,138,0,138,22:50,23:00,22,23,11/12,1/6,同一发行的小时预报,True
0,139,0,139,23:00,23:10,23,24,1/12,1/6,同一发行的小时预报,True
0,140,0,140,23:10,23:20,23,24,1/4,1/6,同一发行的小时预报,True
0,141,0,141,23:20,23:30,23,24,5/12,1/6,同一发行的小时预报,True
0,142,0,142,23:30,23:40,23,24,7/12,1/6,同一发行的小时预报,True
0,143,0,143,23:40,23:50,23,24,3/4,1/6,同一发行的小时预报,True
0,144,0,144,23:50,24:00,23,24,11/12,1/6,同一发行的小时预报,True
6,1,0,37,6:00,6:10,0,1,1/12,1/6,已完成槽观测代理；首日首发行用h1,True
6,2,0,38,6:10,6:20,0,1,1/4,1/6,已完成槽观测代理；首日首发行用h1,True
6,3,0,39,6:20,6:30,0,1,5/12,1/6,已完成槽观测代理；首日首发行用h1,True
6,4,0,40,6:30,6:40,0,1,7/12,1/6,已完成槽观测代理；首日首发行用h1,True
6,5,0,41,6:40,6:50,0,1,3/4,1/6,已完成槽观测代理；首日首发行用h1,True
6,6,0,42,6:50,7:00,0,1,11/12,1/6,已完成槽观测代理；首日首发行用h1,True
6,7,0,43,7:00,7:10,1,2,1/12,1/6,同一发行的小时预报,True
6,8,0,44,7:10,7:20,1,2,1/4,1/6,同一发行的小时预报,True
6,9,0,45,7:20,7:30,1,2,5/12,1/6,同一发行的小时预报,True
6,10,0,46,7:30,7:40,1,2,7/12,1/6,同一发行的小时预报,True
6,11,0,47,7:40,7:50,1,2,3/4,1/6,同一发行的小时预报,True
6,12,0,48,7:50,8:00,1,2,11/12,1/6,同一发行的小时预报,True
6,13,0,49,8:00,8:10,2,3,1/12,1/6,同一发行的小时预报,True
6,14,0,50,8:10,8:20,2,3,1/4,1/6,同一发行的小时预报,True
6,15,0,51,8:20,8:30,2,3,5/12,1/6,同一发行的小时预报,True
6,16,0,52,8:30,8:40,2,3,7/12,1/6,同一发行的小时预报,True
6,17,0,53,8:40,8:50,2,3,3/4,1/6,同一发行的小时预报,True
6,18,0,54,8:50,9:00,2,3,11/12,1/6,同一发行的小时预报,True
6,19,0,55,9:00,9:10,3,4,1/12,1/6,同一发行的小时预报,True
6,20,0,56,9:10,9:20,3,4,1/4,1/6,同一发行的小时预报,True
6,21,0,57,9:20,9:30,3,4,5/12,1/6,同一发行的小时预报,True
6,22,0,58,9:30,9:40,3,4,7/12,1/6,同一发行的小时预报,True
6,23,0,59,9:40,9:50,3,4,3/4,1/6,同一发行的小时预报,True
6,24,0,60,9:50,10:00,3,4,11/12,1/6,同一发行的小时预报,True
6,25,0,61,10:00,10:10,4,5,1/12,1/6,同一发行的小时预报,True
6,26,0,62,10:10,10:20,4,5,1/4,1/6,同一发行的小时预报,True
6,27,0,63,10:20,10:30,4,5,5/12,1/6,同一发行的小时预报,True
6,28,0,64,10:30,10:40,4,5,7/12,1/6,同一发行的小时预报,True
6,29,0,65,10:40,10:50,4,5,3/4,1/6,同一发行的小时预报,True
6,30,0,66,10:50,11:00,4,5,11/12,1/6,同一发行的小时预报,True
6,31,0,67,11:00,11:10,5,6,1/12,1/6,同一发行的小时预报,True
6,32,0,68,11:10,11:20,5,6,1/4,1/6,同一发行的小时预报,True
6,33,0,69,11:20,11:30,5,6,5/12,1/6,同一发行的小时预报,True
6,34,0,70,11:30,11:40,5,6,7/12,1/6,同一发行的小时预报,True
6,35,0,71,11:40,11:50,5,6,3/4,1/6,同一发行的小时预报,True
6,36,0,72,11:50,12:00,5,6,11/12,1/6,同一发行的小时预报,True
6,37,0,73,12:00,12:10,6,7,1/12,1/6,同一发行的小时预报,True
6,38,0,74,12:10,12:20,6,7,1/4,1/6,同一发行的小时预报,True
6,39,0,75,12:20,12:30,6,7,5/12,1/6,同一发行的小时预报,True
6,40,0,76,12:30,12:40,6,7,7/12,1/6,同一发行的小时预报,True
6,41,0,77,12:40,12:50,6,7,3/4,1/6,同一发行的小时预报,True
6,42,0,78,12:50,13:00,6,7,11/12,1/6,同一发行的小时预报,True
6,43,0,79,13:00,13:10,7,8,1/12,1/6,同一发行的小时预报,True
6,44,0,80,13:10,13:20,7,8,1/4,1/6,同一发行的小时预报,True
6,45,0,81,13:20,13:30,7,8,5/12,1/6,同一发行的小时预报,True
6,46,0,82,13:30,13:40,7,8,7/12,1/6,同一发行的小时预报,True
6,47,0,83,13:40,13:50,7,8,3/4,1/6,同一发行的小时预报,True
6,48,0,84,13:50,14:00,7,8,11/12,1/6,同一发行的小时预报,True
6,49,0,85,14:00,14:10,8,9,1/12,1/6,同一发行的小时预报,True
6,50,0,86,14:10,14:20,8,9,1/4,1/6,同一发行的小时预报,True
6,51,0,87,14:20,14:30,8,9,5/12,1/6,同一发行的小时预报,True
6,52,0,88,14:30,14:40,8,9,7/12,1/6,同一发行的小时预报,True
6,53,0,89,14:40,14:50,8,9,3/4,1/6,同一发行的小时预报,True
6,54,0,90,14:50,15:00,8,9,11/12,1/6,同一发行的小时预报,True
6,55,0,91,15:00,15:10,9,10,1/12,1/6,同一发行的小时预报,True
6,56,0,92,15:10,15:20,9,10,1/4,1/6,同一发行的小时预报,True
6,57,0,93,15:20,15:30,9,10,5/12,1/6,同一发行的小时预报,True
6,58,0,94,15:30,15:40,9,10,7/12,1/6,同一发行的小时预报,True
6,59,0,95,15:40,15:50,9,10,3/4,1/6,同一发行的小时预报,True
6,60,0,96,15:50,16:00,9,10,11/12,1/6,同一发行的小时预报,True
6,61,0,97,16:00,16:10,10,11,1/12,1/6,同一发行的小时预报,True
6,62,0,98,16:10,16:20,10,11,1/4,1/6,同一发行的小时预报,True
6,63,0,99,16:20,16:30,10,11,5/12,1/6,同一发行的小时预报,True
6,64,0,100,16:30,16:40,10,11,7/12,1/6,同一发行的小时预报,True
6,65,0,101,16:40,16:50,10,11,3/4,1/6,同一发行的小时预报,True
6,66,0,102,16:50,17:00,10,11,11/12,1/6,同一发行的小时预报,True
6,67,0,103,17:00,17:10,11,12,1/12,1/6,同一发行的小时预报,True
6,68,0,104,17:10,17:20,11,12,1/4,1/6,同一发行的小时预报,True
6,69,0,105,17:20,17:30,11,12,5/12,1/6,同一发行的小时预报,True
6,70,0,106,17:30,17:40,11,12,7/12,1/6,同一发行的小时预报,True
6,71,0,107,17:40,17:50,11,12,3/4,1/6,同一发行的小时预报,True
6,72,0,108,17:50,18:00,11,12,11/12,1/6,同一发行的小时预报,True
6,73,0,109,18:00,18:10,12,13,1/12,1/6,同一发行的小时预报,True
6,74,0,110,18:10,18:20,12,13,1/4,1/6,同一发行的小时预报,True
6,75,0,111,18:20,18:30,12,13,5/12,1/6,同一发行的小时预报,True
6,76,0,112,18:30,18:40,12,13,7/12,1/6,同一发行的小时预报,True
6,77,0,113,18:40,18:50,12,13,3/4,1/6,同一发行的小时预报,True
6,78,0,114,18:50,19:00,12,13,11/12,1/6,同一发行的小时预报,True
6,79,0,115,19:00,19:10,13,14,1/12,1/6,同一发行的小时预报,True
6,80,0,116,19:10,19:20,13,14,1/4,1/6,同一发行的小时预报,True
6,81,0,117,19:20,19:30,13,14,5/12,1/6,同一发行的小时预报,True
6,82,0,118,19:30,19:40,13,14,7/12,1/6,同一发行的小时预报,True
6,83,0,119,19:40,19:50,13,14,3/4,1/6,同一发行的小时预报,True
6,84,0,120,19:50,20:00,13,14,11/12,1/6,同一发行的小时预报,True
6,85,0,121,20:00,20:10,14,15,1/12,1/6,同一发行的小时预报,True
6,86,0,122,20:10,20:20,14,15,1/4,1/6,同一发行的小时预报,True
6,87,0,123,20:20,20:30,14,15,5/12,1/6,同一发行的小时预报,True
6,88,0,124,20:30,20:40,14,15,7/12,1/6,同一发行的小时预报,True
6,89,0,125,20:40,20:50,14,15,3/4,1/6,同一发行的小时预报,True
6,90,0,126,20:50,21:00,14,15,11/12,1/6,同一发行的小时预报,True
6,91,0,127,21:00,21:10,15,16,1/12,1/6,同一发行的小时预报,True
6,92,0,128,21:10,21:20,15,16,1/4,1/6,同一发行的小时预报,True
6,93,0,129,21:20,21:30,15,16,5/12,1/6,同一发行的小时预报,True
6,94,0,130,21:30,21:40,15,16,7/12,1/6,同一发行的小时预报,True
6,95,0,131,21:40,21:50,15,16,3/4,1/6,同一发行的小时预报,True
6,96,0,132,21:50,22:00,15,16,11/12,1/6,同一发行的小时预报,True
6,97,0,133,22:00,22:10,16,17,1/12,1/6,同一发行的小时预报,True
6,98,0,134,22:10,22:20,16,17,1/4,1/6,同一发行的小时预报,True
6,99,0,135,22:20,22:30,16,17,5/12,1/6,同一发行的小时预报,True
6,100,0,136,22:30,22:40,16,17,7/12,1/6,同一发行的小时预报,True
6,101,0,137,22:40,22:50,16,17,3/4,1/6,同一发行的小时预报,True
6,102,0,138,22:50,23:00,16,17,11/12,1/6,同一发行的小时预报,True
6,103,0,139,23:00,23:10,17,18,1/12,1/6,同一发行的小时预报,True
6,104,0,140,23:10,23:20,17,18,1/4,1/6,同一发行的小时预报,True
6,105,0,141,23:20,23:30,17,18,5/12,1/6,同一发行的小时预报,True
6,106,0,142,23:30,23:40,17,18,7/12,1/6,同一发行的小时预报,True
6,107,0,143,23:40,23:50,17,18,3/4,1/6,同一发行的小时预报,True
6,108,0,144,23:50,24:00,17,18,11/12,1/6,同一发行的小时预报,True
6,109,1,1,0:00,0:10,18,19,1/12,1/6,同一发行的小时预报,False
6,110,1,2,0:10,0:20,18,19,1/4,1/6,同一发行的小时预报,False
6,111,1,3,0:20,0:30,18,19,5/12,1/6,同一发行的小时预报,False
6,112,1,4,0:30,0:40,18,19,7/12,1/6,同一发行的小时预报,False
6,113,1,5,0:40,0:50,18,19,3/4,1/6,同一发行的小时预报,False
6,114,1,6,0:50,1:00,18,19,11/12,1/6,同一发行的小时预报,False
6,115,1,7,1:00,1:10,19,20,1/12,1/6,同一发行的小时预报,False
6,116,1,8,1:10,1:20,19,20,1/4,1/6,同一发行的小时预报,False
6,117,1,9,1:20,1:30,19,20,5/12,1/6,同一发行的小时预报,False
6,118,1,10,1:30,1:40,19,20,7/12,1/6,同一发行的小时预报,False
6,119,1,11,1:40,1:50,19,20,3/4,1/6,同一发行的小时预报,False
6,120,1,12,1:50,2:00,19,20,11/12,1/6,同一发行的小时预报,False
6,121,1,13,2:00,2:10,20,21,1/12,1/6,同一发行的小时预报,False
6,122,1,14,2:10,2:20,20,21,1/4,1/6,同一发行的小时预报,False
6,123,1,15,2:20,2:30,20,21,5/12,1/6,同一发行的小时预报,False
6,124,1,16,2:30,2:40,20,21,7/12,1/6,同一发行的小时预报,False
6,125,1,17,2:40,2:50,20,21,3/4,1/6,同一发行的小时预报,False
6,126,1,18,2:50,3:00,20,21,11/12,1/6,同一发行的小时预报,False
6,127,1,19,3:00,3:10,21,22,1/12,1/6,同一发行的小时预报,False
6,128,1,20,3:10,3:20,21,22,1/4,1/6,同一发行的小时预报,False
6,129,1,21,3:20,3:30,21,22,5/12,1/6,同一发行的小时预报,False
6,130,1,22,3:30,3:40,21,22,7/12,1/6,同一发行的小时预报,False
6,131,1,23,3:40,3:50,21,22,3/4,1/6,同一发行的小时预报,False
6,132,1,24,3:50,4:00,21,22,11/12,1/6,同一发行的小时预报,False
6,133,1,25,4:00,4:10,22,23,1/12,1/6,同一发行的小时预报,False
6,134,1,26,4:10,4:20,22,23,1/4,1/6,同一发行的小时预报,False
6,135,1,27,4:20,4:30,22,23,5/12,1/6,同一发行的小时预报,False
6,136,1,28,4:30,4:40,22,23,7/12,1/6,同一发行的小时预报,False
6,137,1,29,4:40,4:50,22,23,3/4,1/6,同一发行的小时预报,False
6,138,1,30,4:50,5:00,22,23,11/12,1/6,同一发行的小时预报,False
6,139,1,31,5:00,5:10,23,24,1/12,1/6,同一发行的小时预报,False
6,140,1,32,5:10,5:20,23,24,1/4,1/6,同一发行的小时预报,False
6,141,1,33,5:20,5:30,23,24,5/12,1/6,同一发行的小时预报,False
6,142,1,34,5:30,5:40,23,24,7/12,1/6,同一发行的小时预报,False
6,143,1,35,5:40,5:50,23,24,3/4,1/6,同一发行的小时预报,False
6,144,1,36,5:50,6:00,23,24,11/12,1/6,同一发行的小时预报,False
12,1,0,73,12:00,12:10,0,1,1/12,1/6,已完成槽观测代理；首日首发行用h1,True
12,2,0,74,12:10,12:20,0,1,1/4,1/6,已完成槽观测代理；首日首发行用h1,True
12,3,0,75,12:20,12:30,0,1,5/12,1/6,已完成槽观测代理；首日首发行用h1,True
12,4,0,76,12:30,12:40,0,1,7/12,1/6,已完成槽观测代理；首日首发行用h1,True
12,5,0,77,12:40,12:50,0,1,3/4,1/6,已完成槽观测代理；首日首发行用h1,True
12,6,0,78,12:50,13:00,0,1,11/12,1/6,已完成槽观测代理；首日首发行用h1,True
12,7,0,79,13:00,13:10,1,2,1/12,1/6,同一发行的小时预报,True
12,8,0,80,13:10,13:20,1,2,1/4,1/6,同一发行的小时预报,True
12,9,0,81,13:20,13:30,1,2,5/12,1/6,同一发行的小时预报,True
12,10,0,82,13:30,13:40,1,2,7/12,1/6,同一发行的小时预报,True
12,11,0,83,13:40,13:50,1,2,3/4,1/6,同一发行的小时预报,True
12,12,0,84,13:50,14:00,1,2,11/12,1/6,同一发行的小时预报,True
12,13,0,85,14:00,14:10,2,3,1/12,1/6,同一发行的小时预报,True
12,14,0,86,14:10,14:20,2,3,1/4,1/6,同一发行的小时预报,True
12,15,0,87,14:20,14:30,2,3,5/12,1/6,同一发行的小时预报,True
12,16,0,88,14:30,14:40,2,3,7/12,1/6,同一发行的小时预报,True
12,17,0,89,14:40,14:50,2,3,3/4,1/6,同一发行的小时预报,True
12,18,0,90,14:50,15:00,2,3,11/12,1/6,同一发行的小时预报,True
12,19,0,91,15:00,15:10,3,4,1/12,1/6,同一发行的小时预报,True
12,20,0,92,15:10,15:20,3,4,1/4,1/6,同一发行的小时预报,True
12,21,0,93,15:20,15:30,3,4,5/12,1/6,同一发行的小时预报,True
12,22,0,94,15:30,15:40,3,4,7/12,1/6,同一发行的小时预报,True
12,23,0,95,15:40,15:50,3,4,3/4,1/6,同一发行的小时预报,True
12,24,0,96,15:50,16:00,3,4,11/12,1/6,同一发行的小时预报,True
12,25,0,97,16:00,16:10,4,5,1/12,1/6,同一发行的小时预报,True
12,26,0,98,16:10,16:20,4,5,1/4,1/6,同一发行的小时预报,True
12,27,0,99,16:20,16:30,4,5,5/12,1/6,同一发行的小时预报,True
12,28,0,100,16:30,16:40,4,5,7/12,1/6,同一发行的小时预报,True
12,29,0,101,16:40,16:50,4,5,3/4,1/6,同一发行的小时预报,True
12,30,0,102,16:50,17:00,4,5,11/12,1/6,同一发行的小时预报,True
12,31,0,103,17:00,17:10,5,6,1/12,1/6,同一发行的小时预报,True
12,32,0,104,17:10,17:20,5,6,1/4,1/6,同一发行的小时预报,True
12,33,0,105,17:20,17:30,5,6,5/12,1/6,同一发行的小时预报,True
12,34,0,106,17:30,17:40,5,6,7/12,1/6,同一发行的小时预报,True
12,35,0,107,17:40,17:50,5,6,3/4,1/6,同一发行的小时预报,True
12,36,0,108,17:50,18:00,5,6,11/12,1/6,同一发行的小时预报,True
12,37,0,109,18:00,18:10,6,7,1/12,1/6,同一发行的小时预报,True
12,38,0,110,18:10,18:20,6,7,1/4,1/6,同一发行的小时预报,True
12,39,0,111,18:20,18:30,6,7,5/12,1/6,同一发行的小时预报,True
12,40,0,112,18:30,18:40,6,7,7/12,1/6,同一发行的小时预报,True
12,41,0,113,18:40,18:50,6,7,3/4,1/6,同一发行的小时预报,True
12,42,0,114,18:50,19:00,6,7,11/12,1/6,同一发行的小时预报,True
12,43,0,115,19:00,19:10,7,8,1/12,1/6,同一发行的小时预报,True
12,44,0,116,19:10,19:20,7,8,1/4,1/6,同一发行的小时预报,True
12,45,0,117,19:20,19:30,7,8,5/12,1/6,同一发行的小时预报,True
12,46,0,118,19:30,19:40,7,8,7/12,1/6,同一发行的小时预报,True
12,47,0,119,19:40,19:50,7,8,3/4,1/6,同一发行的小时预报,True
12,48,0,120,19:50,20:00,7,8,11/12,1/6,同一发行的小时预报,True
12,49,0,121,20:00,20:10,8,9,1/12,1/6,同一发行的小时预报,True
12,50,0,122,20:10,20:20,8,9,1/4,1/6,同一发行的小时预报,True
12,51,0,123,20:20,20:30,8,9,5/12,1/6,同一发行的小时预报,True
12,52,0,124,20:30,20:40,8,9,7/12,1/6,同一发行的小时预报,True
