slot_id,source_marker,excel_column,template_label,physical_interval,plan_semantics,adjustment_semantics,latest_possible_issue_hour
120,20:00,DQ,20:00-20:10,19:50-20:00,g0_kwh,"a_final_kwh, not delta",18
121,20:10,DR,20:10-20:20,20:00-20:10,g0_kwh,"a_final_kwh, not delta",18
122,20:20,DS,20:20-20:30,20:10-20:20,g0_kwh,"a_final_kwh, not delta",18
123,20:30,DT,20:30-20:40,20:20-20:30,g0_kwh,"a_final_kwh, not delta",18
124,20:40,DU,20:40-20:50,20:30-20:40,g0_kwh,"a_final_kwh, not delta",18
125,20:50,DV,20:50-21:00,20:40-20:50,g0_kwh,"a_final_kwh, not delta",18
126,21:00,DW,21:00-21:10,20:50-21:00,g0_kwh,"a_final_kwh, not delta",18
127,21:10,DX,21:10-21:20,21:00-21:10,g0_kwh,"a_final_kwh, not delta",18
128,21:20,DY,21:20-21:30,21:10-21:20,g0_kwh,"a_final_kwh, not delta",18
129,21:30,DZ,21:30-21:40,21:20-21:30,g0_kwh,"a_final_kwh, not delta",18
130,21:40,EA,21:40-21:50,21:30-21:40,g0_kwh,"a_final_kwh, not delta",18
131,21:50,EB,21:50-22:00,21:40-21:50,g0_kwh,"a_final_kwh, not delta",18
132,22:00,EC,22:00-22:10,21:50-22:00,g0_kwh,"a_final_kwh, not delta",18
133,22:10,ED,22:10-22:20,22:00-22:10,g0_kwh,"a_final_kwh, not delta",18
134,22:20,EE,22:20-22:30,22:10-22:20,g0_kwh,"a_final_kwh, not delta",18
135,22:30,EF,22:30-22:40,22:20-22:30,g0_kwh,"a_final_kwh, not delta",18
136,22:40,EG,22:40-22:50,22:30-22:40,g0_kwh,"a_final_kwh, not delta",18
137,22:50,EH,22:50-23:00,22:40-22:50,g0_kwh,"a_final_kwh, not delta",18
138,23:00,EI,23:00-23:10,22:50-23:00,g0_kwh,"a_final_kwh, not delta",18
139,23:10,EJ,23:10-23:20,23:00-23:10,g0_kwh,"a_final_kwh, not delta",18
140,23:20,EK,23:20-23:30,23:10-23:20,g0_kwh,"a_final_kwh, not delta",18
141,23:30,EL,23:30-23:40,23:20-23:30,g0_kwh,"a_final_kwh, not delta",18
142,23:40,EM,23:40-23:50,23:30-23:40,g0_kwh,"a_final_kwh, not delta",18
143,23:50,EN,23:50-0:00+1,23:40-23:50,g0_kwh,"a_final_kwh, not delta",18
144,0:00+1,EO,0:00-0:10+1,23:50-24:00,g0_kwh,"a_final_kwh, not delta",18
