日期,日最低价,日最高价,日内价差
2025-02-16,0.34,1.3733,1.0332999999999999
2025-02-17,0.3597,1.3221,0.9624
2025-02-18,0.3707,1.3605,0.9898
2025-02-19,0.3736,1.3304,0.9568000000000001
2025-02-20,0.3079,1.3465,1.0386
2025-02-21,0.2473,1.1504,0.9031000000000001
2025-02-22,0.2472,1.2217,0.9745
2025-02-23,0.3868,1.375,0.9882
2025-02-24,0.3649,1.3842,1.0193
2025-02-25,0.3725,1.3107,0.9381999999999999
2025-02-26,0.3378,1.3369,0.9991
2025-02-27,0.3235,1.3501,1.0266000000000002
2025-02-28,0.2409,1.1629,0.922
2025-03-01,0.2405,1.1576,0.9171
2025-03-02,0.3093,1.3111,1.0017999999999998
2025-03-03,0.3264,1.3164,0.99
2025-03-04,0.3381,1.3441,1.006
2025-03-05,0.3644,1.3305,0.9661
2025-03-06,0.3327,1.3434,1.0107
2025-03-07,0.1545,1.1883,1.0337999999999998
2025-03-08,0.21,1.1729,0.9629000000000001
2025-03-09,0.3641,1.3356,0.9714999999999999
2025-03-10,0.3691,1.3308,0.9617
2025-03-11,0.3822,1.3372,0.955
2025-03-12,0.35,1.3485,0.9985
2025-03-13,0.3312,1.3317,1.0005000000000002
2025-03-14,0.1602,1.1955,1.0352999999999999
2025-03-15,0.2699,1.1777,0.9077999999999999
2025-03-16,0.3598,1.3095,0.9497000000000001
2025-03-17,0.367,1.3189,0.9519
2025-03-18,0.3707,1.3196,0.9489000000000001
2025-03-19,0.3401,1.3494,1.0092999999999999
2025-03-20,0.2794,1.3228,1.0434
2025-03-21,0.1352,1.1788,1.0436
2025-03-22,0.1546,1.1642,1.0095999999999998
2025-03-23,0.3404,1.3289,0.9884999999999999
2025-03-24,0.3336,1.3583,1.0247000000000002
2025-03-25,0.3706,1.3143,0.9437
2025-03-26,0.3654,1.3062,0.9408000000000001
2025-03-27,0.3125,1.3182,1.0057
2025-03-28,0.1269,1.1837,1.0568
2025-03-29,0.0913,1.1833,1.092
2025-03-30,0.3471,1.3168,0.9697
2025-03-31,0.3473,1.3379,0.9906000000000001
2025-04-01,0.3582,1.3193,0.9610999999999998
2025-04-02,0.3693,1.3316,0.9622999999999999
2025-04-03,0.3202,1.3867,1.0665
2025-04-04,0.0905,1.2001,1.1096
2025-04-05,0.1482,1.1736,1.0253999999999999
2025-04-06,0.3579,1.3107,0.9528
2025-04-07,0.3671,1.3349,0.9678
2025-04-08,0.3246,1.3574,1.0328
2025-04-09,0.3756,1.321,0.9454
2025-04-10,0.2828,1.3433,1.0605
2025-04-11,0.1092,1.1471,1.0379
2025-04-12,0.214,1.1558,0.9418
2025-04-13,0.3493,1.3312,0.9819
2025-04-14,0.3437,1.3446,1.0009000000000001
2025-04-15,0.3275,1.3283,1.0008
2025-04-16,0.3669,1.364,0.9971000000000001
2025-04-17,0.3043,1.3148,1.0105
2025-04-18,0.1948,1.1711,0.9763000000000001
2025-04-19,0.1113,1.1659,1.0546
2025-04-20,0.3618,1.3046,0.9428
2025-04-21,0.2898,1.3263,1.0365
2025-04-22,0.3534,1.3399,0.9865000000000002
2025-04-23,0.3289,1.3932,1.0643
2025-04-24,0.3044,1.349,1.0446
2025-04-25,0.1126,1.1686,1.056
2025-04-26,0.0076,1.196,1.1884
2025-04-27,0.272,1.3177,1.0457
2025-04-28,0.3592,1.3403,0.9811000000000001
2025-04-29,0.3089,1.3284,1.0195
2025-04-30,0.3282,1.3318,1.0036
2025-05-01,0.2921,1.3606,1.0685
2025-05-02,0.2486,1.2187,0.9701
2025-05-03,0.14,1.2238,1.0838
2025-05-04,0.3732,1.3892,1.016
2025-05-05,0.3375,1.3756,1.0381
2025-05-06,0.3324,1.343,1.0106
2025-05-07,0.347,1.3712,1.0242
2025-05-08,0.3201,1.4134,1.0933
2025-05-09,0.1705,1.1847,1.0142
2025-05-10,0.1241,1.1933,1.0692
2025-05-11,0.3089,1.3772,1.0683
2025-05-12,0.3229,1.3827,1.0598
2025-05-13,0.2841,1.3607,1.0766
2025-05-14,0.2722,1.3983,1.1261
2025-05-15,0.3356,1.3271,0.9914999999999999
2025-05-16,0.0992,1.2252,1.1260000000000001
2025-05-17,0.2134,1.2422,1.0288
2025-05-18,0.377,1.3468,0.9698
2025-05-19,0.2653,1.3957,1.1303999999999998
2025-05-20,0.3146,1.373,1.0584
2025-05-21,0.311,1.3612,1.0502
2025-05-22,0.3239,1.3576,1.0336999999999998
2025-05-23,0.1593,1.188,1.0287
2025-05-24,0.1275,1.1755,1.048
2025-05-25,0.3608,1.4094,1.0486
2025-05-26,0.3289,1.3799,1.051
2025-05-27,0.3312,1.3497,1.0185
2025-05-28,0.2285,1.3888,1.1603
2025-05-29,0.3164,1.3731,1.0567
2025-05-30,0.0389,1.2666,1.2277
2025-05-31,0.1409,1.2,1.0591
2025-06-01,0.3697,1.406,1.0363
2025-06-02,0.3546,1.3869,1.0323
2025-06-03,0.3586,1.4412,1.0826
2025-06-04,0.3598,1.4185,1.0587
2025-06-05,0.3403,1.4022,1.0618999999999998
2025-06-06,0.2445,1.2673,1.0228000000000002
2025-06-07,0.2901,1.2859,0.9958
2025-06-08,0.3642,1.4164,1.0522
2025-06-09,0.3522,1.4169,1.0647
2025-06-10,0.377,1.4372,1.0602
2025-06-11,0.2889,1.442,1.1531
2025-06-12,0.3069,1.4394,1.1325
2025-06-13,0.2565,1.298,1.0415
2025-06-14,0.2585,1.238,0.9795
2025-06-15,0.3571,1.4464,1.0893
2025-06-16,0.3023,1.3988,1.0965
2025-06-17,0.3465,1.4509,1.1044
2025-06-18,0.3499,1.4109,1.061
2025-06-19,0.3554,1.4236,1.0682
2025-06-20,0.2668,1.2402,0.9734
2025-06-21,0.1828,1.2633,1.0805
2025-06-22,0.3355,1.4122,1.0766999999999998
2025-06-23,0.3539,1.4023,1.0484
2025-06-24,0.3611,1.4158,1.0547
2025-06-25,0.3384,1.4004,1.062
2025-06-26,0.3376,1.417,1.0794000000000001
2025-06-27,0.1708,1.2437,1.0729
2025-06-28,0.1995,1.2402,1.0407
2025-06-29,0.3508,1.3938,1.043
2025-06-30,0.3316,1.4347,1.1031
2025-07-01,0.3868,1.7322,1.3454
2025-07-02,0.4184,1.727,1.3086000000000002
2025-07-03,0.3737,1.7936,1.4199000000000002
2025-07-04,0.1337,1.5677,1.4340000000000002
2025-07-05,0.168,1.5334,1.3654000000000002
2025-07-06,0.4315,1.7731,1.3416
2025-07-07,0.3983,1.7052,1.3069000000000002
2025-07-08,0.3935,1.7507,1.3572
2025-07-09,0.3976,1.7416,1.344
2025-07-10,0.4072,1.7648,1.3576
2025-07-11,0.2855,1.5451,1.2595999999999998
2025-07-12,0.2556,1.5783,1.3227
2025-07-13,0.3392,1.7345,1.3953
2025-07-14,0.3522,1.7345,1.3822999999999999
2025-07-15,0.3419,1.7416,1.3997000000000002
2025-07-16,0.3718,1.6813,1.3094999999999999
2025-07-17,0.3696,1.7092,1.3396000000000001
2025-07-18,0.3031,1.5835,1.2804
2025-07-19,0.1583,1.5795,1.4211999999999998
2025-07-20,0.3497,1.7018,1.3521
2025-07-21,0.3888,1.7317,1.3429
2025-07-22,0.3953,1.7059,1.3106
2025-07-23,0.4298,1.7196,1.2898
2025-07-24,0.4014,1.7129,1.3115
2025-07-25,0.192,1.5162,1.3242
2025-07-26,0.2778,1.5779,1.3001
2025-07-27,0.3756,1.6917,1.3161
2025-07-28,0.3783,1.7444,1.3660999999999999
2025-07-29,0.4164,1.7497,1.3333
2025-07-30,0.3727,1.6898,1.3171
2025-07-31,0.381,1.7439,1.3629
2025-08-01,0.1568,1.5892,1.4324
2025-08-02,0.1219,1.5378,1.4159000000000002
2025-08-03,0.3408,1.692,1.3512
2025-08-04,0.374,1.6947,1.3207
2025-08-05,0.3346,1.7018,1.3672
2025-08-06,0.3616,1.7116,1.35
2025-08-07,0.3292,1.7422,1.413
2025-08-08,0.0665,1.5268,1.4603
2025-08-09,0.1714,1.5586,1.3872
2025-08-10,0.3761,1.7523,1.3761999999999999
2025-08-11,0.3636,1.7686,1.405
2025-08-12,0.3472,1.7091,1.3619
2025-08-13,0.3789,1.7327,1.3538
2025-08-14,0.3843,1.7384,1.3540999999999999
2025-08-15,0.1119,1.6114,1.4994999999999998
2025-08-16,0.0685,1.5409,1.4724
2025-08-17,0.3386,1.7136,1.375
2025-08-18,0.3325,1.7616,1.4291
2025-08-19,0.4324,1.7202,1.2877999999999998
2025-08-20,0.4085,1.7251,1.3166000000000002
2025-08-21,0.4163,1.7157,1.2993999999999999
2025-08-22,0.1444,1.5612,1.4167999999999998
2025-08-23,0.1405,1.5209,1.3803999999999998
2025-08-24,0.3394,1.7075,1.3681
2025-08-25,0.3974,1.7083,1.3109
2025-08-26,0.3224,1.6987,1.3763
2025-08-27,0.3375,1.7058,1.3683
2025-08-28,0.3748,1.7227,1.3478999999999999
2025-08-29,0.1616,1.5608,1.3992
2025-08-30,0.115,1.5978,1.4828000000000001
2025-08-31,0.4046,1.7034,1.2988
2025-09-01,0.3616,1.367,1.0054
2025-09-02,0.3185,1.3791,1.0606
2025-09-03,0.3744,1.3826,1.0082
2025-09-04,0.3556,1.3949,1.0393
2025-09-05,0.1454,1.2232,1.0778
2025-09-06,0.07,1.2147,1.1446999999999998
2025-09-07,0.3572,1.3878,1.0306
2025-09-08,0.3635,1.358,0.9945000000000002
2025-09-09,0.2568,1.377,1.1202
2025-09-10,0.3604,1.3717,1.0112999999999999
2025-09-11,0.301,1.368,1.0670000000000002
2025-09-12,0.112,1.219,1.107
2025-09-13,0.0376,1.2673,1.2297
2025-09-14,0.3774,1.3811,1.0037
2025-09-15,0.3138,1.3666,1.0528
2025-09-16,0.3741,1.3713,0.9972
2025-09-17,0.3228,1.3545,1.0317
2025-09-18,0.355,1.4221,1.0671
2025-09-19,0.2021,1.2857,1.0836000000000001
2025-09-20,0.0958,1.2367,1.1408999999999998
2025-09-21,0.36,1.3742,1.0142000000000002
2025-09-22,0.381,1.3934,1.0124
2025-09-23,0.3271,1.3866,1.0595
2025-09-24,0.3701,1.3677,0.9975999999999999
2025-09-25,0.3266,1.3825,1.0559
2025-09-26,0.1786,1.1987,1.0201
2025-09-27,0.208,1.2231,1.0151000000000001
2025-09-28,0.3864,1.3665,0.9801
2025-09-29,0.3708,1.3651,0.9943
2025-09-30,0.3589,1.3781,1.0192
2025-10-01,0.2329,1.3138,1.0809000000000002
2025-10-02,0.3234,1.3383,1.0149
2025-10-03,0.0924,1.1747,1.0823
2025-10-04,0.132,1.1845,1.0525000000000002
2025-10-05,0.3247,1.303,0.9783
2025-10-06,0.3294,1.3468,1.0173999999999999
2025-10-07,0.341,1.3141,0.9731000000000001
2025-10-08,0.37,1.3239,0.9539000000000001
2025-10-09,0.3337,1.3793,1.0455999999999999
2025-10-10,0.039,1.1569,1.1179000000000001
2025-10-11,0.155,1.184,1.029
2025-10-12,0.3076,1.3451,1.0375
2025-10-13,0.3599,1.3254,0.9654999999999999
2025-10-14,0.3194,1.3729,1.0535
2025-10-15,0.3279,1.3505,1.0226
2025-10-16,0.3224,1.3193,0.9968999999999999
2025-10-17,0.1661,1.1647,0.9986
2025-10-18,0.1762,1.1522,0.9759999999999999
2025-10-19,0.3396,1.3441,1.0045000000000002
2025-10-20,0.3284,1.3294,1.001
2025-10-21,0.3559,1.3281,0.9722000000000001
2025-10-22,0.3376,1.3348,0.9972
2025-10-23,0.3637,1.3254,0.9616999999999999
2025-10-24,0.1355,1.1463,1.0108000000000001
2025-10-25,0.1778,1.172,0.9942
2025-10-26,0.3661,1.3094,0.9432999999999999
2025-10-27,0.3474,1.3209,0.9735
2025-10-28,0.3814,1.363,0.9816
2025-10-29,0.3617,1.3399,0.9782000000000001
2025-10-30,0.3217,1.3188,0.9971
2025-10-31,0.2016,1.1689,0.9673
2025-11-01,0.2088,1.193,0.9842000000000001
2025-11-02,0.3823,1.3248,0.9425
2025-11-03,0.3421,1.3314,0.9892999999999998
2025-11-04,0.3595,1.335,0.9755
2025-11-05,0.3759,1.328,0.9521000000000001
2025-11-06,0.3771,1.3718,0.9946999999999999
2025-11-07,0.2158,1.1963,0.9804999999999999
2025-11-08,0.242,1.2197,0.9777
2025-11-09,0.3516,1.3403,0.9887
2025-11-10,0.2992,1.3367,1.0375
2025-11-11,0.3475,1.3296,0.9821
2025-11-12,0.3489,1.3537,1.0048
2025-11-13,0.3456,1.3222,0.9766
2025-11-14,0.2419,1.1899,0.948
2025-11-15,0.2532,1.1995,0.9463
2025-11-16,0.3594,1.3416,0.9822
2025-11-17,0.3623,1.3437,0.9813999999999998
2025-11-18,0.3257,1.3419,1.0162
2025-11-19,0.3761,1.3453,0.9692
2025-11-20,0.3421,1.4244,1.0823
2025-11-21,0.2524,1.1626,0.9102000000000001
2025-11-22,0.2376,1.1753,0.9377
2025-11-23,0.3495,1.346,0.9965000000000002
2025-11-24,0.3605,1.3475,0.9869999999999999
2025-11-25,0.3452,1.3383,0.9931000000000001
2025-11-26,0.2983,1.3677,1.0694
2025-11-27,0.3187,1.3841,1.0654000000000001
2025-11-28,0.2408,1.184,0.9431999999999999
2025-11-29,0.2736,1.1734,0.8997999999999999
2025-11-30,0.3651,1.3886,1.0235
2025-12-01,0.361,1.5873,1.2263
2025-12-02,0.378,1.584,1.206
2025-12-03,0.3713,1.584,1.2127000000000001
2025-12-04,0.3853,1.5836,1.1983
2025-12-05,0.2354,1.4106,1.1752
2025-12-06,0.3005,1.4053,1.1048
2025-12-07,0.3908,1.6174,1.2266
2025-12-08,0.3445,1.6698,1.3253
2025-12-09,0.3418,1.5404,1.1985999999999999
2025-12-10,0.3834,1.6143,1.2309
2025-12-11,0.33,1.5835,1.2534999999999998
2025-12-12,0.2681,1.456,1.1879
2025-12-13,0.3133,1.4166,1.1033
2025-12-14,0.3769,1.5687,1.1918
2025-12-15,0.3509,1.5558,1.2049
2025-12-16,0.3715,1.5512,1.1797
2025-12-17,0.3507,1.5634,1.2127
2025-12-18,0.3508,1.5699,1.2191
2025-12-19,0.2621,1.394,1.1319
2025-12-20,0.2632,1.3841,1.1209000000000002
2025-12-21,0.3905,1.5659,1.1754
2025-12-22,0.3709,1.5876,1.2167
2025-12-23,0.3848,1.5836,1.1987999999999999
2025-12-24,0.3591,1.547,1.1879
2025-12-25,0.2502,1.6252,1.375
2025-12-26,0.278,1.4434,1.1654
2025-12-27,0.2681,1.4076,1.1395
2025-12-28,0.3477,1.5651,1.2174
2025-12-29,0.3684,1.5396,1.1712
2025-12-30,0.3684,1.5554,1.1869999999999998
2025-12-31,0.3518,1.5632,1.2113999999999998
