记录类型,电价_元每kWh,槽位数,起始slot_id,结束slot_id,起始time_mark,结束time_mark
价格水平,0.8623,1,82,82,13:40,13:40
价格水平,0.8636,1,79,79,13:10,13:10
价格水平,0.8758,1,38,38,6:20,6:20
价格水平,0.8759,1,39,39,6:30,6:30
价格水平,0.8791,1,99,99,16:30,16:30
价格水平,0.9024,1,100,100,16:40,16:40
价格水平,0.9026,1,83,83,13:50,13:50
价格水平,0.9068,1,127,127,21:10,21:10
价格水平,0.9099,1,36,36,6:00,6:00
价格水平,0.9163,1,101,101,16:50,16:50
价格水平,0.9264,1,102,102,17:00,17:00
价格水平,0.9332,1,126,126,21:00,21:00
价格水平,0.9368,1,37,37,6:10,6:10
价格水平,0.9371,2,128,129,21:20,21:30
价格水平,0.9376,1,89,89,14:50,14:50
价格水平,0.9422,1,58,58,9:40,9:40
价格水平,0.9462,1,103,103,17:10,17:10
价格水平,0.9549,1,63,63,10:30,10:30
价格水平,0.9569,1,59,59,9:50,9:50
价格水平,0.9588,1,62,62,10:20,10:20
价格水平,0.97,1,57,57,9:30,9:30
价格水平,0.9742,1,104,104,17:20,17:20
价格水平,0.9754,1,84,84,14:00,14:00
价格水平,0.976,1,106,106,17:40,17:40
价格水平,0.9839,1,64,64,10:40,10:40
价格水平,0.9862,1,105,105,17:30,17:30
价格水平,0.9871,1,130,130,21:40,21:40
价格水平,0.9919,1,61,61,10:10,10:10
价格水平,0.9922,1,56,56,9:20,9:20
价格水平,0.9977,1,60,60,10:00,10:00
价格水平,0.9978,1,86,86,14:20,14:20
价格水平,1.0002,1,85,85,14:10,14:10
价格水平,1.0147,1,55,55,9:10,9:10
价格水平,1.0271,1,87,87,14:30,14:30
价格水平,1.036,1,54,54,9:00,9:00
价格水平,1.043,1,53,53,8:50,8:50
价格水平,1.061,1,52,52,8:40,8:40
价格水平,1.0742,1,107,107,17:50,17:50
价格水平,1.0849,1,51,51,8:30,8:30
价格水平,1.0906,1,88,88,14:40,14:40
价格水平,1.0956,1,50,50,8:20,8:20
价格水平,1.1617,1,48,48,8:00,8:00
价格水平,1.1683,1,49,49,8:10,8:10
价格水平,1.2226,1,125,125,20:50,20:50
价格水平,1.2313,1,108,108,18:00,18:00
价格水平,1.2447,1,110,110,18:20,18:20
价格水平,1.2522,1,112,112,18:40,18:40
价格水平,1.2545,1,111,111,18:30,18:30
价格水平,1.2561,1,109,109,18:10,18:10
价格水平,1.2881,1,113,113,18:50,18:50
价格水平,1.34,1,122,122,20:20,20:20
价格水平,1.3445,1,116,116,19:20,19:20
价格水平,1.3466,1,114,114,19:00,19:00
价格水平,1.3473,1,119,119,19:50,19:50
价格水平,1.3482,1,120,120,20:00,20:00
价格水平,1.3483,1,117,117,19:30,19:30
价格水平,1.3489,1,123,123,20:30,20:30
价格水平,1.349,1,118,118,19:40,19:40
价格水平,1.3513,1,121,121,20:10,20:10
价格水平,1.3523,1,115,115,19:10,19:10
价格水平,1.3952,1,124,124,20:40,20:40
连续块_1,0.4248,1,1,1,0:10,0:10
连续块_2,0.4245,1,2,2,0:20,0:20
连续块_3,0.4269,1,3,3,0:30,0:30
连续块_4,0.4272,1,4,4,0:40,0:40
连续块_5,0.4271,1,5,5,0:50,0:50
连续块_6,0.4285,1,6,6,1:00,1:00
连续块_7,0.4311,1,7,7,1:10,1:10
连续块_8,0.4302,1,8,8,1:20,1:20
连续块_9,0.4279,1,9,9,1:30,1:30
连续块_10,0.4312,1,10,10,1:40,1:40
连续块_11,0.4333,1,11,11,1:50,1:50
连续块_12,0.4311,1,12,12,2:00,2:00
连续块_13,0.4293,1,13,13,2:10,2:10
连续块_14,0.4324,1,14,14,2:20,2:20
连续块_15,0.4367,1,15,15,2:30,2:30
连续块_16,0.4348,1,16,16,2:40,2:40
连续块_17,0.4335,1,17,17,2:50,2:50
连续块_18,0.4357,1,18,18,3:00,3:00
连续块_19,0.4374,1,19,19,3:10,3:10
连续块_20,0.4371,1,20,20,3:20,3:20
连续块_21,0.4356,1,21,21,3:30,3:30
连续块_22,0.4353,1,22,22,3:40,3:40
连续块_23,0.436,1,23,23,3:50,3:50
连续块_24,0.4378,1,24,24,4:00,4:00
连续块_25,0.4401,1,25,25,4:10,4:10
连续块_26,0.4389,1,26,26,4:20,4:20
连续块_27,0.4364,1,27,27,4:30,4:30
连续块_28,0.4393,1,28,28,4:40,4:40
连续块_29,0.4422,1,29,29,4:50,4:50
连续块_30,0.4395,1,30,30,5:00,5:00
连续块_31,0.4333,1,31,31,5:10,5:10
连续块_32,0.4439,1,32,32,5:20,5:20
连续块_33,0.4301,1,33,33,5:30,5:30
连续块_34,0.3713,1,34,34,5:40,5:40
连续块_35,0.5708,1,35,35,5:50,5:50
连续块_36,0.9099,1,36,36,6:00,6:00
连续块_37,0.9368,1,37,37,6:10,6:10
连续块_38,0.8758,1,38,38,6:20,6:20
连续块_39,0.8759,1,39,39,6:30,6:30
连续块_40,0.8601,1,40,40,6:40,6:40
连续块_41,0.8442,1,41,41,6:50,6:50
连续块_42,0.8334,1,42,42,7:00,7:00
连续块_43,0.8092,1,43,43,7:10,7:10
连续块_44,0.7972,1,44,44,7:20,7:20
连续块_45,0.7644,1,45,45,7:30,7:30
连续块_46,0.6899,1,46,46,7:40,7:40
连续块_47,0.86,1,47,47,7:50,7:50
连续块_48,1.1617,1,48,48,8:00,8:00
连续块_49,1.1683,1,49,49,8:10,8:10
连续块_50,1.0956,1,50,50,8:20,8:20
连续块_51,1.0849,1,51,51,8:30,8:30
连续块_52,1.061,1,52,52,8:40,8:40
连续块_53,1.043,1,53,53,8:50,8:50
连续块_54,1.036,1,54,54,9:00,9:00
连续块_55,1.0147,1,55,55,9:10,9:10
连续块_56,0.9922,1,56,56,9:20,9:20
连续块_57,0.97,1,57,57,9:30,9:30
连续块_58,0.9422,1,58,58,9:40,9:40
连续块_59,0.9569,1,59,59,9:50,9:50
连续块_60,0.9977,1,60,60,10:00,10:00
连续块_61,0.9919,1,61,61,10:10,10:10
连续块_62,0.9588,1,62,62,10:20,10:20
连续块_63,0.9549,1,63,63,10:30,10:30
连续块_64,0.9839,1,64,64,10:40,10:40
连续块_65,0.799,1,65,65,10:50,10:50
连续块_66,0.5025,1,66,66,11:00,11:00
连续块_67,0.4662,1,67,67,11:10,11:10
连续块_68,0.5007,1,68,68,11:20,11:20
连续块_69,0.4827,1,69,69,11:30,11:30
连续块_70,0.4785,1,70,70,11:40,11:40
连续块_71,0.4662,1,71,71,11:50,11:50
连续块_72,0.4432,1,72,72,12:00,12:00
连续块_73,0.4411,1,73,73,12:10,12:10
连续块_74,0.4551,1,74,74,12:20,12:20
连续块_75,0.4463,1,75,75,12:30,12:30
连续块_76,0.4113,1,76,76,12:40,12:40
连续块_77,0.5682,1,77,77,12:50,12:50
连续块_78,0.8279,1,78,78,13:00,13:00
连续块_79,0.8636,1,79,79,13:10,13:10
连续块_80,0.8416,1,80,80,13:20,13:20
连续块_81,0.8618,1,81,81,13:30,13:30
连续块_82,0.8623,1,82,82,13:40,13:40
连续块_83,0.9026,1,83,83,13:50,13:50
连续块_84,0.9754,1,84,84,14:00,14:00
连续块_85,1.0002,1,85,85,14:10,14:10
连续块_86,0.9978,1,86,86,14:20,14:20
连续块_87,1.0271,1,87,87,14:30,14:30
连续块_88,1.0906,1,88,88,14:40,14:40
连续块_89,0.9376,1,89,89,14:50,14:50
连续块_90,0.6694,1,90,90,15:00,15:00
连续块_91,0.66,1,91,91,15:10,15:10
连续块_92,0.7217,1,92,92,15:20,15:20
连续块_93,0.7308,1,93,93,15:30,15:30
连续块_94,0.7534,1,94,94,15:40,15:40
连续块_95,0.7823,1,95,95,15:50,15:50
连续块_96,0.8055,1,96,96,16:00,16:00
连续块_97,0.8271,1,97,97,16:10,16:10
连续块_98,0.8519,1,98,98,16:20,16:20
连续块_99,0.8791,1,99,99,16:30,16:30
连续块_100,0.9024,1,100,100,16:40,16:40
连续块_101,0.9163,1,101,101,16:50,16:50
连续块_102,0.9264,1,102,102,17:00,17:00
连续块_103,0.9462,1,103,103,17:10,17:10
连续块_104,0.9742,1,104,104,17:20,17:20
连续块_105,0.9862,1,105,105,17:30,17:30
连续块_106,0.976,1,106,106,17:40,17:40
连续块_107,1.0742,1,107,107,17:50,17:50
连续块_108,1.2313,1,108,108,18:00,18:00
连续块_109,1.2561,1,109,109,18:10,18:10
连续块_110,1.2447,1,110,110,18:20,18:20
连续块_111,1.2545,1,111,111,18:30,18:30
连续块_112,1.2522,1,112,112,18:40,18:40
连续块_113,1.2881,1,113,113,18:50,18:50
连续块_114,1.3466,1,114,114,19:00,19:00
连续块_115,1.3523,1,115,115,19:10,19:10
连续块_116,1.3445,1,116,116,19:20,19:20
连续块_117,1.3483,1,117,117,19:30,19:30
连续块_118,1.349,1,118,118,19:40,19:40
连续块_119,1.3473,1,119,119,19:50,19:50
连续块_120,1.3482,1,120,120,20:00,20:00
连续块_121,1.3513,1,121,121,20:10,20:10
连续块_122,1.34,1,122,122,20:20,20:20
连续块_123,1.3489,1,123,123,20:30,20:30
连续块_124,1.3952,1,124,124,20:40,20:40
连续块_125,1.2226,1,125,125,20:50,20:50
连续块_126,0.9332,1,126,126,21:00,21:00
连续块_127,0.9068,1,127,127,21:10,21:10
连续块_128,0.9371,2,128,129,21:20,21:30
连续块_129,0.9871,1,130,130,21:40,21:40
连续块_130,0.7764,1,131,131,21:50,21:50
连续块_131,0.4209,1,132,132,22:00,22:00
连续块_132,0.3859,1,133,133,22:10,22:10
连续块_133,0.4368,1,134,134,22:20,22:20
连续块_134,0.4198,1,135,135,22:30,22:30
连续块_135,0.4186,1,136,136,22:40,22:40
连续块_136,0.4241,1,137,137,22:50,22:50
连续块_137,0.4237,1,138,138,23:00,23:00
连续块_138,0.4248,1,139,139,23:10,23:10
连续块_139,0.424,1,140,140,23:20,23:20
连续块_140,0.422,1,141,141,23:30,23:30
连续块_141,0.424,1,142,142,23:40,23:40
连续块_142,0.4271,1,143,143,23:50,23:50
连续块_143,0.4276,1,144,144,0:00+1,0:00+1
